Time	Noise	Photoresistor	Humidity	Temperature	CO2	Soil Moisture



2021/5/28 (Friday) 13:34:46	718	437	65.70 % 	21.40 °C	3611	78%



2021/5/28 (Friday) 13:34:56	719	439	65.80 % 	21.50 °C	2890	78%



2021/5/28 (Friday) 13:35:6	719	437	65.70 % 	21.40 °C	2846	77%



2021/5/28 (Friday) 13:35:16	719	438	65.70 % 	21.40 °C	2738	78%



2021/5/28 (Friday) 13:35:26	718	437	65.70 % 	21.40 °C	2656	77%



2021/5/28 (Friday) 13:35:36	718	437	65.70 % 	21.50 °C	2569	78%



2021/5/28 (Friday) 13:35:46	720	438	65.80 % 	21.50 °C	2563	77%



2021/5/28 (Friday) 13:35:56	720	436	65.80 % 	21.40 °C	2641	78%



2021/5/28 (Friday) 13:36:6	719	438	65.80 % 	21.50 °C	2688	78%



2021/5/28 (Friday) 13:36:16	723	439	65.70 % 	21.40 °C	2704	68%



2021/5/28 (Friday) 13:36:26	771	469	65.70 % 	21.40 °C	2752	71%



2021/5/28 (Friday) 13:36:37	764	464	65.70 % 	21.50 °C	2657	71%



