Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

22:45:52,611,52.60,25.60,638,151

22:45:53,250,52.60,25.60,638,151

22:45:54,168,52.60,25.50,638,151

22:45:55,158,52.60,25.50,638,151

22:45:56,157,52.70,25.60,638,151

22:45:57,157,52.70,25.60,639,151

22:45:58,157,52.70,25.50,640,151

22:45:59,157,52.70,25.50,642,151

22:46:0,157,52.70,25.60,643,150

22:46:1,153,52.70,25.60,644,152

22:46:2,154,52.70,25.50,643,152

22:46:3,154,52.70,25.50,644,152

22:46:4,154,52.80,25.60,644,152

22:46:5,154,52.80,25.60,644,152

22:46:6,153,52.80,25.50,644,152

22:46:7,154,52.80,25.50,644,152

22:46:8,154,52.90,25.50,644,152

22:46:9,154,52.90,25.50,644,152

22:46:10,154,53.00,25.60,645,152

22:46:11,154,53.00,25.60,646,152

22:46:12,154,52.90,25.50,646,152

22:46:13,155,52.90,25.50,647,152

22:46:14,155,52.90,25.50,647,152

22:46:16,155,52.90,25.50,648,152

22:46:17,155,52.90,25.50,649,152

22:46:18,155,52.90,25.50,649,151

22:46:19,158,52.90,25.50,649,151

22:46:20,159,52.90,25.50,649,151

22:46:21,158,52.90,25.50,649,151

22:46:22,158,52.90,25.50,650,151

22:46:23,157,52.90,25.50,650,151

22:46:24,157,52.90,25.50,651,151

22:46:25,157,52.90,25.50,652,151

22:46:26,157,52.90,25.50,654,151

22:46:27,157,53.00,25.50,655,151

22:46:28,157,53.00,25.50,655,151

22:46:29,157,52.90,25.50,655,151

22:46:30,157,52.90,25.50,655,151

22:46:31,156,52.90,25.50,655,151

22:46:32,156,52.90,25.50,655,151

22:46:33,157,52.90,25.50,656,151

22:46:34,153,52.90,25.50,656,152

22:46:35,153,52.90,25.50,657,152

22:46:36,153,52.90,25.50,658,152

22:46:37,153,53.00,25.50,659,152

22:46:38,153,53.00,25.50,660,152

22:46:39,154,53.00,25.50,661,152

22:46:40,154,53.00,25.50,661,152

22:46:41,153,53.00,25.50,661,152

22:46:42,153,53.00,25.50,661,152

22:46:43,154,53.10,25.50,661,152

22:46:44,154,53.10,25.50,661,152

22:46:45,154,53.10,25.50,662,152

22:46:46,154,53.10,25.50,663,152

22:46:47,154,53.20,25.50,664,152

22:46:48,154,53.20,25.50,665,152

22:46:49,155,53.20,25.50,666,153

22:46:51,158,53.20,25.50,666,151

22:46:52,160,53.30,25.50,666,151

22:46:53,159,53.30,25.50,666,151

22:46:54,158,53.40,25.50,667,151

22:46:55,157,53.40,25.50,668,151

22:46:56,158,53.40,25.50,668,151

22:46:57,157,53.40,25.50,669,151

22:46:58,157,53.40,25.50,670,151

22:46:59,157,53.40,25.50,671,151

22:47:0,156,53.40,25.50,672,151

22:47:1,157,53.40,25.50,673,151

22:47:2,156,53.50,25.50,674,151

22:47:3,156,53.50,25.50,674,151

22:47:4,156,53.50,25.50,675,151

22:47:5,156,53.50,25.50,676,151

22:47:6,156,53.50,25.50,677,151

22:47:7,153,53.50,25.50,677,153

22:47:8,152,53.50,25.50,679,153

22:47:9,153,53.50,25.50,680,152

22:47:10,153,53.50,25.50,680,152

22:47:11,153,53.50,25.50,681,153

22:47:12,153,53.50,25.50,681,152

22:47:13,153,53.50,25.50,682,152

22:47:14,154,53.50,25.50,682,153

22:47:15,154,53.50,25.50,683,152

22:47:16,154,53.50,25.50,683,153

22:47:17,154,53.50,25.50,684,153

22:47:18,154,53.50,25.50,684,153

22:47:19,154,53.50,25.50,685,153

22:47:20,154,53.50,25.50,685,152

22:47:21,155,53.50,25.50,686,152

22:47:22,154,53.40,25.50,686,153

22:47:23,157,53.40,25.50,686,151

22:47:24,160,53.40,25.50,687,151

22:47:26,159,53.40,25.50,687,151

22:47:27,158,53.40,25.50,687,151

22:47:28,157,53.40,25.50,687,151

22:47:29,157,53.40,25.50,688,151

22:47:30,157,53.40,25.50,688,152

22:47:31,156,53.50,25.50,688,151

22:47:32,156,53.50,25.50,689,152

22:47:33,156,53.50,25.50,689,152

22:47:34,156,53.50,25.50,689,152

22:47:35,156,53.50,25.50,689,152

22:47:36,156,53.50,25.50,690,152

22:47:37,156,53.50,25.50,690,152

22:47:38,155,53.50,25.50,690,152

22:47:39,156,53.50,25.50,690,152

22:47:40,152,53.50,25.50,690,153

22:47:41,152,53.50,25.50,691,153

22:47:42,152,53.50,25.50,691,153

22:47:43,152,53.50,25.50,691,153

22:47:44,153,53.50,25.50,691,153

22:47:45,152,53.50,25.50,691,153

22:47:46,152,53.50,25.50,692,153

22:47:47,153,53.50,25.50,692,153

22:47:48,153,53.50,25.50,692,152

22:47:49,153,53.60,25.50,692,153

22:47:50,153,53.60,25.50,692,153

22:47:51,154,53.60,25.50,693,153

22:47:52,154,53.60,25.50,693,153

22:47:53,154,53.60,25.50,693,153

22:47:54,154,53.60,25.50,693,153

22:47:55,154,53.70,25.50,693,153

22:47:56,154,53.70,25.50,693,151

22:47:57,157,53.70,25.50,694,151

22:47:58,158,53.70,25.50,694,151

22:47:59,157,53.80,25.50,694,152

22:48:1,157,53.80,25.50,694,151

22:48:2,157,53.80,25.50,694,152

22:48:3,156,53.80,25.50,694,152

22:48:4,156,53.90,25.50,695,152

22:48:5,156,53.90,25.50,695,152

22:48:6,156,53.90,25.50,695,152

22:48:7,155,53.90,25.50,696,152

22:48:8,155,54.00,25.50,696,152

22:48:9,155,54.00,25.50,696,152

22:48:10,155,54.00,25.50,696,152

22:48:11,155,54.00,25.50,696,152

22:48:12,155,54.00,25.50,696,152

22:48:13,153,54.00,25.50,696,153

22:48:14,152,54.00,25.50,696,153

22:48:15,152,54.00,25.50,696,153

22:48:16,152,54.00,25.50,696,153

22:48:17,152,54.00,25.50,697,153

22:48:18,152,53.90,25.50,697,153

22:48:19,153,53.90,25.50,697,153

22:48:20,152,53.80,25.50,697,153

22:48:21,153,53.80,25.50,697,153

22:48:22,153,53.70,25.50,697,153

22:48:23,153,53.70,25.50,697,153

22:48:24,153,53.70,25.50,697,153

22:48:25,154,53.70,25.50,697,153

22:48:26,154,53.70,25.50,697,153

22:48:27,154,53.70,25.50,697,153

22:48:28,153,53.60,25.50,697,153

22:48:29,154,53.60,25.50,697,151

22:48:30,157,53.60,25.50,697,151

22:48:31,158,53.60,25.50,697,151

22:48:32,158,53.60,25.50,697,151

22:48:33,157,53.60,25.50,697,151

22:48:34,157,53.60,25.50,697,152

22:48:36,156,53.60,25.50,697,151

22:48:37,157,53.50,25.50,697,151

22:48:38,156,53.50,25.50,697,151

22:48:39,156,53.50,25.50,698,152

22:48:40,156,53.50,25.50,698,152

22:48:41,156,53.50,25.50,697,152

22:48:42,156,53.50,25.50,697,152

22:48:43,156,53.50,25.50,697,151

22:48:44,155,53.50,25.50,697,152

22:48:45,155,53.50,25.50,697,151

22:48:46,153,53.50,25.50,698,153

22:48:47,152,53.50,25.50,698,153

22:48:48,152,53.50,25.50,698,153

22:48:49,152,53.50,25.50,698,153

22:48:50,152,53.50,25.50,698,153

22:48:51,153,53.50,25.50,698,153

22:48:52,153,53.50,25.50,698,153

22:48:53,153,53.50,25.50,698,153

22:48:54,153,53.50,25.50,698,153

22:48:55,153,53.50,25.50,698,153

22:48:56,153,53.50,25.50,698,153

22:48:57,153,53.60,25.50,698,153

22:48:58,153,53.60,25.50,698,153

22:48:59,153,53.60,25.50,698,153

22:49:0,153,53.60,25.50,698,153

22:49:1,153,53.60,25.50,698,153

22:49:2,153,53.60,25.50,698,151

22:49:3,157,53.60,25.50,698,151

22:49:4,157,53.60,25.50,698,151

22:49:5,157,53.60,25.50,698,152

22:49:6,156,53.60,25.50,698,152

22:49:7,156,53.60,25.50,698,152

