Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

22:15:49,597,53.90,25.40,640,151

22:15:50,245,53.90,25.40,640,151

22:15:51,167,54.00,25.40,640,151

22:15:52,159,54.00,25.40,640,151

151

22:16:52,157,54.30,25.40,660,152

22:16:53,157,54.40,25.40,661,152

6:50,155,54.30,25.40,660,151

22:16:51,158,54.30,25.40,660,151

22:16:52,157,54.30,25.40,660,152

22:16:53,157,54.40,25.40,661,152

Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

22:16:59,541,54.40,25.40,661,153

22:17:0,227,54.40,25.40,661,153

22:17:1,161,54.40,25.40,661,153

22:17:2,154,54.40,25.40,661,153

22:17:3,153,54.40,25.40,662,153

22:17:4,153,54.40,25.40,662,153

22:17:5,153,54.40,25.40,663,151

22:17:6,157,54.40,25.40,663,152

22:17:7,157,54.40,25.40,663,152

22:17:8,157,54.40,25.40,663,152

22:17:9,156,54.40,25.40,665,152

22:17:10,156,54.40,25.40,665,152

22:17:11,156,54.40,25.40,665,152

22:17:12,156,54.40,25.40,665,152

22:17:13,156,54.40,25.40,665,152

22:17:14,155,54.40,25.40,665,152

22:17:15,155,54.40,25.40,666,152

22:17:16,155,54.40,25.40,666,152

22:17:17,155,54.40,25.40,666,152

22:17:18,155,54.40,25.40,666,152

22:17:19,155,54.40,25.40,666,152

22:17:20,155,54.40,25.40,666,152

22:17:21,155,54.40,25.40,666,153

22:17:22,153,54.40,25.40,666,153

22:17:23,151,54.40,25.40,666,153

22:17:24,152,54.40,25.40,667,153

22:17:25,152,54.40,25.40,667,153

22:17:26,152,54.40,25.40,667,153

22:17:27,152,54.40,25.40,667,153

22:17:28,153,54.40,25.40,667,153

22:17:29,152,54.40,25.40,667,153

22:17:30,153,54.40,25.40,667,153

22:17:32,153,54.40,25.40,667,153

22:17:33,153,54.40,25.40,667,153

22:17:34,153,54.50,25.40,667,153

22:17:35,153,54.50,25.40,667,153

22:17:36,153,54.60,25.40,667,153

22:17:37,153,54.60,25.40,667,153

22:17:38,153,54.70,25.40,667,152

22:17:39,156,54.70,25.40,667,152

22:17:40,157,54.80,25.40,667,152

22:17:41,156,54.80,25.40,667,152

22:17:42,156,54.80,25.40,667,152

22:17:43,156,54.80,25.40,667,152

