Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:38:35,541,55.00,25.40,764,155

21:38:36,222,55.00,25.40,763,155

21:38:37,157,55.40,25.40,763,155

21:38:38,151,55.40,25.40,763,155

21:38:39,150,55.70,25.40,762,155

21:38:40,153,55.70,25.40,762,154

21:38:41,154,55.90,25.40,761,154

21:38:42,153,55.90,25.40,761,154

21:38:43,153,56.00,25.40,761,154

21:38:44,153,56.00,25.40,761,154

21:38:45,153,55.90,25.40,761,154

21:38:46,153,55.90,25.40,761,154

21:38:47,152,55.90,25.40,761,154

21:38:48,152,55.90,25.40,761,154

21:38:49,151,55.90,25.40,761,154

21:38:50,151,55.90,25.40,759,154

21:38:51,151,55.80,25.40,759,154

21:38:52,151,55.80,25.40,759,154

21:38:53,151,55.80,25.40,759,154

21:38:54,151,55.80,25.40,758,154

21:38:55,151,55.90,25.40,758,154

21:38:56,149,55.90,25.40,758,155

21:38:57,148,56.00,25.40,757,155

21:38:58,148,56.00,25.40,757,155

21:38:59,149,56.10,25.40,757,155

21:39:0,148,56.10,25.40,757,155

21:39:1,148,56.20,25.40,757,155

21:39:3,149,56.20,25.40,757,155

21:39:4,149,56.10,25.40,756,155

21:39:5,149,56.10,25.40,757,155

21:39:6,150,56.00,25.40,757,155

21:39:7,149,56.00,25.40,757,155

21:39:8,149,55.90,25.40,757,155

21:39:9,150,55.90,25.40,757,155

21:39:10,150,55.90,25.40,757,155

21:39:11,150,55.90,25.40,757,155

21:39:12,150,55.80,25.40,757,155

21:39:13,156,55.80,25.40,755,153

21:39:14,155,55.80,25.40,755,153

21:39:15,155,55.80,25.40,755,153

21:39:16,154,55.80,25.40,755,154

21:39:17,153,55.80,25.40,755,153

21:39:18,153,55.90,25.40,755,153

21:39:19,153,55.90,25.40,755,153

21:39:20,153,56.10,25.40,755,153

21:39:21,153,56.10,25.40,755,154

21:39:22,153,56.20,25.40,755,154

21:39:23,152,56.20,25.40,755,153

21:39:24,152,56.30,25.40,756,154

21:39:25,152,56.30,25.40,756,154

21:39:26,152,56.40,25.40,756,153

21:39:27,152,56.40,25.40,756,153

21:39:28,152,56.50,25.40,756,153

21:39:29,149,56.50,25.40,756,155

21:39:30,149,56.60,25.40,756,155

21:39:31,149,56.60,25.40,756,154

21:39:32,149,56.50,25.40,756,155

21:39:33,149,56.50,25.40,756,155

21:39:34,149,56.50,25.40,756,155

21:39:35,150,56.50,25.40,756,155

21:39:36,150,56.50,25.40,756,155

21:39:38,150,56.50,25.40,756,155

21:39:39,150,56.50,25.40,756,155

21:39:40,150,56.50,25.40,756,155

21:39:41,151,56.50,25.40,756,155

21:39:42,151,56.50,25.40,756,155

21:39:43,151,56.60,25.40,756,155

21:39:44,151,56.60,25.40,756,155

21:39:45,151,56.70,25.40,756,155

21:39:46,156,56.70,25.40,756,153

21:39:47,156,56.80,25.40,757,153

21:39:48,155,56.80,25.40,757,153

21:39:49,155,56.80,25.40,757,153

21:39:50,154,56.80,25.40,757,153

21:39:51,153,56.90,25.40,757,153

21:39:52,154,56.90,25.40,757,153

21:39:53,153,56.90,25.40,757,153

21:39:54,153,56.90,25.40,759,153

21:39:55,154,57.00,25.40,759,154

21:39:56,153,57.00,25.40,759,153

21:39:57,153,57.10,25.40,759,153

21:39:58,153,57.10,25.40,759,153

21:39:59,153,57.10,25.40,759,153

21:40:0,152,57.10,25.40,759,153

21:40:1,152,57.00,25.40,759,154

21:40:2,150,57.00,25.40,759,154

21:40:3,150,56.90,25.40,759,154

21:40:4,150,56.90,25.40,759,154

21:40:5,149,56.90,25.40,759,154

21:40:6,149,56.90,25.40,759,154

21:40:7,149,56.90,25.40,759,154

21:40:8,150,56.90,25.40,759,154

21:40:9,150,57.00,25.40,759,154

21:40:10,151,57.00,25.40,759,154

21:40:11,150,57.00,25.40,759,154

21:40:12,151,57.00,25.40,759,154

21:40:14,151,56.90,25.40,759,154

21:40:15,151,56.90,25.40,759,154

21:40:16,151,56.90,25.40,759,154

21:40:17,151,56.90,25.40,759,154

21:40:18,151,56.90,25.40,759,153

21:40:19,156,56.90,25.40,759,153

21:40:20,156,56.90,25.40,759,153

21:40:21,155,56.90,25.40,759,153

21:40:22,154,57.00,25.40,759,153

21:40:23,154,57.00,25.40,759,153

21:40:24,154,57.00,25.40,759,153

21:40:25,154,57.00,25.40,759,153

21:40:26,154,57.00,25.40,759,153

21:40:27,154,57.00,25.40,759,153

21:40:28,153,57.10,25.40,759,153

21:40:29,153,57.10,25.40,759,153

21:40:30,153,57.10,25.40,759,153

21:40:31,153,57.10,25.40,759,153

21:40:32,152,57.20,25.40,759,153

21:40:33,153,57.20,25.40,759,153

21:40:34,153,57.30,25.40,759,152

21:40:35,150,57.30,25.40,759,154

21:40:36,150,57.40,25.40,759,154

21:40:37,150,57.40,25.40,759,154

21:40:38,150,57.50,25.40,759,154

21:40:39,150,57.50,25.40,759,154

21:40:40,150,57.60,25.40,758,154

21:40:41,150,57.60,25.40,758,154

21:40:42,150,57.70,25.40,758,154

21:40:43,151,57.70,25.40,758,154

21:40:44,151,57.80,25.40,758,154

21:40:45,151,57.80,25.40,759,154

