Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

20:52:58,539,57.60,25.30,767,155

20:52:59,223,57.60,25.30,767,154

20:53:0,158,57.20,25.30,767,154

20:53:1,150,57.20,25.30,767,154

20:53:2,150,57.20,25.40,767,154

20:53:3,150,57.20,25.40,767,155

20:53:4,149,57.10,25.40,767,155

20:53:5,149,57.10,25.40,767,155

20:53:7,150,57.00,25.40,767,155

20:53:8,149,57.00,25.40,768,153

20:53:9,153,56.90,25.40,768,153

20:53:10,154,56.90,25.40,768,153

20:53:11,153,56.90,25.40,768,153

20:53:12,153,56.90,25.40,768,153

20:53:13,153,56.90,25.40,768,153

20:53:14,153,56.90,25.40,769,154

20:53:15,153,56.90,25.40,769,153

20:53:16,152,56.90,25.40,769,153

20:53:17,152,57.00,25.40,769,153

20:53:18,152,57.00,25.40,769,153

20:53:19,152,56.90,25.30,769,153

20:53:20,152,56.90,25.30,769,153

20:53:21,152,56.80,25.30,770,153

20:53:22,152,56.80,25.30,770,153

20:53:23,152,56.90,25.40,770,153

20:53:24,149,56.90,25.40,770,154

20:53:25,148,56.80,25.40,770,155

20:53:26,149,56.80,25.40,770,154

20:53:27,148,56.80,25.40,770,155

20:53:28,149,56.80,25.40,772,154

20:53:29,149,56.60,25.30,772,154

20:53:30,149,56.60,25.30,772,154

20:53:31,149,56.70,25.40,772,154

20:53:32,149,56.70,25.40,772,155

20:53:33,150,56.70,25.40,773,154

20:53:34,150,56.70,25.40,773,154

20:53:35,150,56.80,25.30,773,154

20:53:36,150,56.80,25.30,773,154

20:53:37,150,56.90,25.40,773,154

20:53:38,150,56.90,25.40,773,154

20:53:39,150,57.00,25.30,773,154

20:53:40,155,57.00,25.30,773,153

20:53:42,155,57.10,25.40,773,153

20:53:43,154,57.10,25.40,773,153

20:53:44,154,57.20,25.40,773,153

20:53:45,154,57.20,25.40,773,153

20:53:46,153,57.20,25.30,773,153

20:53:47,153,57.20,25.30,773,153

20:53:48,153,57.30,25.40,773,153

20:53:49,153,57.30,25.40,773,153

20:53:50,153,57.40,25.40,773,153

20:53:51,153,57.40,25.40,773,153

20:53:52,152,57.30,25.30,773,153

20:53:53,152,57.30,25.30,772,153

20:53:54,152,57.30,25.40,772,153

20:53:55,152,57.30,25.40,772,153

20:53:56,152,57.20,25.30,772,153

20:53:57,149,57.20,25.30,772,154

20:53:58,149,57.20,25.40,772,154

20:53:59,149,57.20,25.40,772,154

20:54:0,149,57.10,25.30,772,154

20:54:1,148,57.10,25.30,772,154

20:54:2,149,57.00,25.30,772,154

20:54:3,149,57.00,25.30,772,154

20:54:4,149,56.90,25.30,772,154

20:54:5,150,56.90,25.30,772,154

20:54:6,150,56.90,25.30,772,154

20:54:7,150,56.90,25.30,774,154

20:54:8,150,56.80,25.30,774,154

20:54:9,150,56.80,25.30,774,154

20:54:10,151,56.80,25.30,774,154

20:54:11,150,56.80,25.30,774,154

20:54:12,151,56.80,25.30,774,154

20:54:13,156,56.80,25.30,774,153

20:54:14,156,56.80,25.40,774,153

20:54:15,155,56.80,25.40,773,153

20:54:17,154,56.80,25.40,773,153

20:54:18,154,56.80,25.40,773,153

20:54:19,153,56.80,25.40,773,153

20:54:20,153,56.80,25.40,773,153

20:54:21,153,56.80,25.40,773,153

20:54:22,153,56.80,25.40,773,153

20:54:23,153,56.80,25.40,773,153

20:54:24,153,56.80,25.40,773,153

20:54:25,152,56.80,25.40,773,153

20:54:26,153,56.80,25.40,773,153

20:54:27,152,56.70,25.30,773,153

20:54:28,152,56.70,25.30,771,153

20:54:29,152,56.80,25.30,771,151

20:54:30,149,56.80,25.30,771,154

20:54:31,149,56.80,25.30,771,154

20:54:32,149,56.80,25.30,771,154

20:54:33,149,56.90,25.40,772,154

20:54:34,149,56.90,25.40,772,154

20:54:35,149,56.80,25.30,772,154

20:54:36,149,56.80,25.30,772,154

20:54:37,150,56.90,25.40,772,154

20:54:38,150,56.90,25.40,772,154

20:54:39,150,56.80,25.30,772,154

20:54:40,150,56.80,25.30,772,154

20:54:41,150,56.90,25.30,772,154

20:54:42,150,56.90,25.30,772,154

20:54:43,150,57.10,25.40,772,154

20:54:44,150,57.10,25.40,772,154

20:54:45,150,57.50,25.30,772,153

20:54:46,155,57.50,25.30,772,153

20:54:47,156,57.70,25.40,772,153

20:54:48,155,57.70,25.40,771,153

20:54:49,154,57.70,25.40,771,153

20:54:50,154,57.70,25.40,771,153

20:54:52,153,57.60,25.40,771,153

20:54:53,153,57.60,25.40,771,153

20:54:54,153,57.70,25.40,770,153

20:54:55,153,57.70,25.40,770,153

20:54:56,152,57.60,25.30,770,153

20:54:57,153,57.60,25.30,770,153

20:54:58,153,57.60,25.40,770,153

20:54:59,153,57.60,25.40,770,153

20:55:0,152,57.50,25.40,769,153

20:55:1,152,57.50,25.40,769,153

20:55:2,152,57.40,25.30,769,153

20:55:3,149,57.40,25.30,769,154

20:55:4,148,57.30,25.40,769,154

20:55:5,149,57.30,25.40,769,154

20:55:6,149,57.10,25.30,769,154

20:55:7,149,57.10,25.30,768,154

20:55:8,149,57.10,25.40,768,154

20:55:9,149,57.10,25.40,768,154

20:55:10,149,57.00,25.30,768,154

20:55:11,150,57.00,25.30,768,154

20:55:12,150,57.00,25.40,768,154

20:55:13,150,57.00,25.40,768,154

20:55:14,150,56.90,25.40,768,154

20:55:15,150,56.90,25.40,768,154

20:55:16,150,56.90,25.40,768,154

20:55:17,151,56.90,25.40,768,154

20:55:18,150,56.80,25.40,768,154

20:55:19,156,56.80,25.40,767,153

20:55:20,155,56.70,25.30,767,153

20:55:21,155,56.70,25.30,767,153

20:55:22,154,56.80,25.40,767,153

20:55:23,154,56.80,25.40,767,153

20:55:24,154,56.70,25.30,767,153

20:55:25,153,56.70,25.30,767,153

20:55:27,153,56.80,25.40,767,153

20:55:28,153,56.80,25.40,767,153

20:55:29,153,56.80,25.30,767,153

20:55:30,153,56.80,25.30,766,153

20:55:31,153,56.80,25.30,766,153

20:55:32,153,56.80,25.30,766,153

