Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:14:2,539,55.10,25.40,739,154

21:14:3,222,55.10,25.40,739,154

21:14:4,159,55.10,25.40,738,154

21:14:5,152,55.10,25.40,738,154

21:14:6,151,55.10,25.40,737,153

Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:14:46,611,56.40,25.40,737,153

21:14:47,246,56.40,25.40,737,153

21:14:48,163,57.40,25.40,737,154

21:14:49,151,57.40,25.40,737,154

21:14:50,150,57.60,25.40,737,154

21:14:51,149,57.60,25.40,737,154

21:14:52,150,57.80,25.40,737,154

21:14:53,150,57.80,25.40,737,154

21:14:54,150,57.90,25.40,736,154

21:14:55,150,57.90,25.40,736,154

21:14:56,150,58.00,25.40,736,154

21:14:57,150,58.00,25.40,737,154

21:14:58,150,58.10,25.40,737,154

21:14:59,150,58.10,25.40,737,154

21:15:0,150,58.10,25.40,737,154

21:15:1,150,58.10,25.40,737,154

21:15:2,151,58.00,25.40,737,154

21:15:3,151,58.00,25.40,737,154

21:15:4,151,57.80,25.40,737,154

21:15:5,156,57.80,25.40,737,153

21:15:6,156,57.50,25.40,737,153

21:15:7,156,57.50,25.40,737,153

21:15:8,155,57.20,25.40,737,153

21:15:9,154,57.20,25.40,737,153

21:15:10,154,57.00,25.40,738,153

21:15:11,154,57.00,25.40,738,153

21:15:12,154,56.80,25.40,738,153

21:15:14,153,56.80,25.40,737,153

21:15:15,153,56.70,25.40,738,153

21:15:16,153,56.70,25.40,738,153

21:15:17,153,56.60,25.40,737,153

21:16:4,149,56.60,25.50,741,154

21:16:5,149,56.60,25.50,741,154

Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %

21:16:11,540,56.50,25.40,741,154

21:16:12,223,56.50,25.40,741,154

21:16:13,159,56.30,25.50,741,154

21:16:14,152,56.30,25.50,741,154

21:16:15,151,56.20,25.40,741,154

21:16:16,151,56.20,25.40,741,154

21:16:17,151,56.20,25.50,741,154

21:16:18,151,56.20,25.50,741,154

21:16:19,151,56.10,25.40,741,153

21:16:20,155,56.10,25.40,742,153

21:16:21,156,56.10,25.40,742,153

21:16:22,155,56.10,25.40,742,153

21:16:23,155,56.10,25.40,742,153

21:16:24,154,56.10,25.40,742,153

21:16:25,154,56.20,25.40,743,153

21:16:26,154,56.20,25.40,743,153

21:16:27,154,56.60,25.40,743,153

21:16:28,153,56.60,25.40,743,153

21:16:29,153,56.90,25.40,744,153

21:16:30,153,56.90,25.40,744,153

21:16:31,153,57.20,25.40,744,153

21:16:33,153,57.20,25.40,744,153

21:16:34,152,57.30,25.40,744,153

21:16:35,153,57.30,25.40,744,153

21:16:36,152,57.40,25.40,744,154

21:16:37,150,57.40,25.40,746,154

21:16:38,149,57.60,25.50,746,154

21:16:39,149,57.60,25.50,746,154

21:16:40,150,57.60,25.50,746,154

21:16:41,150,57.60,25.50,746,154

21:16:42,150,57.60,25.50,747,154

21:16:43,150,57.60,25.50,747,154

21:16:44,150,57.70,25.50,747,154

21:16:45,150,57.70,25.50,747,154

21:16:46,151,57.70,25.50,748,154

21:16:47,150,57.70,25.50,748,154

21:16:48,150,57.60,25.40,748,154

21:16:49,151,57.60,25.40,748,154

21:16:50,151,57.50,25.50,748,154

21:16:51,151,57.50,25.50,749,154

21:16:52,151,57.40,25.50,749,152

21:16:53,155,57.40,25.50,749,153

21:16:54,156,57.20,25.50,749,153

21:16:55,155,57.20,25.50,750,153

21:16:56,155,57.00,25.50,750,153

21:16:57,154,57.00,25.50,750,153

21:16:58,154,56.80,25.50,750,153

21:16:59,154,56.80,25.50,750,153

21:17:0,154,56.70,25.50,751,153

21:17:1,153,56.70,25.50,751,153

21:17:2,153,56.60,25.50,751,153

21:17:3,153,56.60,25.50,751,153

21:17:4,153,56.50,25.50,752,153

21:17:5,153,56.50,25.50,751,153

21:17:6,152,56.50,25.50,751,153

21:17:8,152,56.50,25.50,751,153

21:17:9,152,56.50,25.50,751,154

21:17:10,150,56.50,25.50,752,154

21:17:11,150,56.50,25.50,752,154

21:17:12,150,56.50,25.50,752,154

21:17:13,150,56.50,25.50,752,154

21:17:14,150,56.50,25.50,752,154

21:17:15,150,56.50,25.50,752,154

21:17:16,150,56.50,25.50,752,154

21:17:17,150,56.60,25.50,752,154

21:17:18,150,56.60,25.50,752,154

21:17:19,151,56.90,25.50,752,154

21:17:20,150,56.90,25.50,752,154

21:17:21,151,57.10,25.50,752,154

21:17:22,151,57.10,25.50,752,154

21:17:23,151,57.50,25.50,752,154

21:17:24,151,57.50,25.50,752,154

21:17:25,151,57.80,25.50,753,152

21:17:26,155,57.80,25.50,753,153

21:17:27,156,58.00,25.50,753,153

21:17:28,155,58.00,25.50,753,153

21:17:29,155,58.00,25.50,753,153

21:17:30,154,58.00,25.50,753,153

21:17:31,153,57.90,25.50,753,153

21:17:32,153,57.90,25.50,753,153

21:17:33,154,57.80,25.50,753,153

21:17:34,154,57.80,25.50,753,153

21:17:35,153,57.80,25.50,753,153

21:17:36,153,57.80,25.50,752,153

21:17:37,153,57.80,25.50,752,153

21:17:38,153,57.80,25.50,752,153

21:17:39,153,58.10,25.50,752,153

21:17:40,153,58.10,25.50,752,153

21:17:41,153,58.30,25.50,752,153

21:17:43,150,58.30,25.50,752,154

21:17:44,149,58.40,25.50,752,154

21:17:45,149,58.40,25.50,752,154

21:17:46,150,58.60,25.50,752,154

21:17:47,150,58.60,25.50,752,154

21:17:48,150,58.60,25.50,752,154

21:17:49,150,58.60,25.50,752,154

21:17:50,150,58.40,25.50,752,154

21:17:51,150,58.40,25.50,754,154

21:17:52,150,58.20,25.50,754,154

21:17:53,151,58.20,25.50,754,154

21:17:54,151,58.00,25.50,754,154

21:17:55,150,58.00,25.50,754,154

21:17:56,151,57.80,25.50,754,154

21:17:57,151,57.80,25.50,755,154

21:17:58,151,57.70,25.50,755,154

21:17:59,151,57.70,25.50,755,153

21:18:0,154,57.70,25.50,754,153

21:18:1,155,57.70,25.50,754,153

21:18:2,154,57.70,25.50,755,153

21:18:3,154,57.70,25.50,755,153

21:18:4,154,57.80,25.50,755,153

21:18:5,154,57.80,25.50,756,153

21:18:6,153,57.70,25.50,756,153

21:18:7,153,57.70,25.50,756,153

21:18:8,153,57.70,25.50,756,153

21:18:9,153,57.70,25.50,756,153

21:18:10,153,57.60,25.50,757,153

21:18:11,153,57.60,25.50,757,153

21:18:12,153,57.60,25.50,757,153

21:18:13,153,57.60,25.50,757,153

21:18:14,152,57.70,25.50,757,153

21:18:15,153,57.70,25.50,757,154

21:18:16,150,57.80,25.50,757,154

21:18:18,150,57.80,25.50,757,154

21:18:19,150,58.00,25.50,757,154

21:18:20,150,58.00,25.50,757,154

21:18:21,150,58.10,25.50,757,154

21:18:22,150,58.10,25.50,757,154

21:18:23,150,58.10,25.50,757,154

21:18:24,150,58.10,25.50,758,154

21:18:25,151,58.00,25.50,758,154

21:18:26,151,58.00,25.50,758,154

21:18:27,151,58.00,25.50,758,154

21:18:28,151,58.00,25.50,758,154

21:18:29,151,57.90,25.40,758,154

21:18:30,151,57.90,25.40,758,154

21:18:31,151,58.00,25.50,759,154

21:18:32,151,58.00,25.50,759,153

21:18:33,155,58.20,25.50,759,153

21:18:34,155,58.20,25.50,759,153

21:18:35,155,58.50,25.50,759,153

21:18:36,154,58.50,25.50,759,153

21:18:37,154,58.60,25.50,759,153

21:18:38,154,58.60,25.50,759,153

21:18:39,154,58.70,25.50,760,153

21:18:40,153,58.70,25.50,760,153

21:18:41,153,58.70,25.50,760,153

21:18:42,153,58.70,25.50,760,153

21:18:43,153,58.80,25.50,760,153

21:18:44,153,58.80,25.50,760,153

21:18:45,153,58.90,25.50,761,153

21:18:46,152,58.90,25.50,761,153

21:18:47,153,59.00,25.50,761,153

21:18:48,153,59.00,25.50,761,154

21:18:49,150,59.10,25.50,761,154

21:18:50,150,59.10,25.50,761,154

21:18:51,150,59.10,25.50,761,154

21:18:53,150,59.10,25.50,761,154

21:18:54,150,59.00,25.50,762,154

21:18:55,150,59.00,25.50,762,154

21:18:56,150,59.00,25.50,762,154

21:18:57,150,59.00,25.50,762,154

21:18:58,150,59.10,25.50,762,154

21:18:59,151,59.10,25.50,762,154

21:19:0,150,59.20,25.50,762,154

21:19:1,151,59.20,25.50,762,154

21:19:2,151,59.30,25.50,764,154

21:19:3,151,59.30,25.50,764,154

21:19:4,151,59.40,25.50,764,154

21:19:5,151,59.40,25.50,764,153

21:19:6,154,59.40,25.50,764,153

21:19:7,155,59.40,25.50,764,153

21:19:8,154,59.20,25.50,764,153

21:19:9,154,59.20,25.50,764,153

21:19:10,154,58.80,25.50,765,153

21:19:11,153,58.80,25.50,765,153

21:19:12,154,58.50,25.50,765,153

21:19:13,154,58.50,25.50,765,153

21:19:14,153,58.30,25.50,765,153

21:19:15,153,58.30,25.50,765,153

21:19:16,153,58.10,25.50,765,153

21:19:17,153,58.10,25.50,765,153

21:19:18,153,58.00,25.50,766,153

21:19:19,152,58.00,25.50,766,153

21:19:20,152,58.00,25.50,766,153

21:19:21,155,58.00,25.50,766,154

21:19:22,150,58.30,25.50,766,154

21:19:23,149,58.30,25.50,766,154

21:19:24,149,58.50,25.50,766,154

21:19:25,150,58.50,25.50,766,154

21:19:26,150,58.70,25.50,766,154

21:19:28,150,58.70,25.50,766,154

21:19:29,150,58.80,25.50,766,154

21:19:30,150,58.80,25.50,766,154

21:19:31,150,58.80,25.50,766,154

21:19:32,150,58.80,25.50,766,154

21:19:33,151,58.70,25.50,766,154

21:19:34,150,58.70,25.50,767,154

21:19:35,151,58.70,25.50,767,154

21:19:36,151,58.70,25.50,767,154

21:19:37,151,58.70,25.50,767,154

21:19:38,151,58.70,25.50,767,153

21:19:39,154,58.80,25.50,767,153

21:19:40,154,58.80,25.50,768,153

21:19:41,154,58.90,25.50,768,153

21:19:42,154,58.90,25.50,768,153

21:19:43,154,59.00,25.50,768,153

21:19:44,153,59.00,25.50,768,153

21:19:45,153,59.00,25.50,768,153

21:19:46,153,59.00,25.50,768,153

21:19:47,153,59.00,25.50,768,153

21:19:48,153,59.00,25.50,768,153

21:19:49,153,59.00,25.50,768,153

21:19:50,152,59.00,25.50,768,153

21:19:51,152,59.00,25.50,768,153

21:19:52,152,59.00,25.50,768,153

21:19:53,152,59.10,25.50,768,153

21:19:54,149,59.10,25.50,768,154

21:19:55,149,59.10,25.50,768,154

21:19:56,149,59.10,25.50,768,154

21:19:57,149,59.10,25.50,768,154

21:19:58,149,59.10,25.50,768,154

21:19:59,149,59.00,25.50,768,154

21:20:0,149,59.00,25.50,768,155

21:20:1,149,59.00,25.50,768,154

21:20:3,150,59.00,25.50,768,154

21:20:4,150,59.00,25.50,768,155

21:20:5,150,59.00,25.50,768,154

21:20:6,150,59.00,25.50,768,155

21:20:7,150,59.00,25.50,768,154

21:20:8,150,59.00,25.50,768,154

21:20:9,150,59.00,25.50,768,154

21:20:10,151,59.00,25.50,768,154

21:20:11,151,59.00,25.50,768,153

21:20:12,154,59.00,25.50,768,153

21:20:13,154,59.00,25.50,768,153

21:20:14,154,59.00,25.50,768,153

21:20:15,153,59.00,25.50,768,153

21:20:16,154,59.00,25.50,768,153

21:20:17,153,59.00,25.50,768,153

21:20:18,153,59.00,25.50,768,153

21:20:19,153,59.00,25.50,768,153

21:20:20,153,59.00,25.50,768,153

21:20:21,153,59.00,25.50,768,153

21:20:22,153,59.00,25.50,768,153

21:20:23,152,59.00,25.50,768,153

21:20:24,152,59.00,25.50,768,153

21:20:25,152,59.00,25.50,768,154

21:20:26,152,58.90,25.50,768,153

21:20:27,151,58.90,25.50,768,155

21:20:28,149,58.90,25.50,768,154

21:20:29,149,58.90,25.50,770,154

21:20:30,149,58.90,25.50,770,155

21:20:31,149,58.90,25.50,768,155

21:20:32,149,58.90,25.50,768,154

21:20:33,149,58.90,25.50,768,154

21:20:34,149,59.00,25.50,768,154

21:20:35,150,59.00,25.50,768,154

21:20:36,150,59.00,25.40,768,154

21:20:38,150,59.00,25.40,768,154

21:20:39,150,59.00,25.50,768,154

21:20:40,150,59.00,25.50,768,154

21:20:41,150,58.90,25.50,768,154

21:20:42,150,58.90,25.50,768,155

21:20:43,151,58.80,25.50,768,155

21:20:44,151,58.80,25.50,768,153

21:20:45,154,58.90,25.50,768,153

21:20:46,155,58.90,25.50,768,153

21:20:47,154,59.00,25.50,768,153

21:20:48,154,59.00,25.50,768,153

21:20:49,153,59.10,25.50,768,153

21:20:50,153,59.10,25.50,768,153

21:20:51,153,59.20,25.50,768,153

21:20:52,153,59.20,25.50,768,153

21:20:53,153,59.30,25.40,768,153

21:20:54,153,59.30,25.40,768,153

21:20:55,152,59.50,25.50,769,153

21:20:56,153,59.50,25.50,769,154

21:20:57,152,59.60,25.50,769,154

21:20:58,152,59.60,25.50,769,154

21:20:59,152,59.70,25.50,769,153

21:21:0,151,59.70,25.50,769,155

21:21:1,149,59.80,25.50,769,154

21:21:2,149,59.80,25.50,769,154

21:21:3,149,59.70,25.50,769,155

21:21:4,149,59.70,25.50,769,155

21:21:5,149,59.60,25.40,769,155

21:21:6,149,59.60,25.40,769,154

21:21:7,149,59.50,25.40,769,154

21:21:8,150,59.50,25.40,769,154

21:21:9,150,59.50,25.50,769,154

21:21:10,150,59.50,25.50,769,155

21:21:11,150,59.40,25.40,769,155

21:21:13,150,59.40,25.40,769,155

21:21:14,150,59.40,25.50,769,154

21:21:15,150,59.40,25.50,769,155

21:21:16,150,59.30,25.40,768,154

21:21:17,150,59.30,25.40,768,153

21:21:18,154,59.40,25.50,769,153

21:21:19,155,59.40,25.50,769,153

21:21:20,154,59.40,25.50,769,153

21:21:21,154,59.40,25.50,769,154

21:21:22,154,59.50,25.50,768,153

21:21:23,154,59.50,25.50,768,153

21:21:24,153,59.50,25.50,768,153

21:21:25,153,59.50,25.50,768,154

21:21:26,153,59.50,25.50,768,154

21:21:27,152,59.50,25.50,768,153

21:21:28,152,59.50,25.50,768,154

21:21:29,152,59.50,25.50,767,154

21:21:30,152,59.30,25.50,767,153

21:21:31,152,59.30,25.50,768,153

21:21:32,152,59.20,25.40,768,153

21:21:33,152,59.20,25.40,768,155

