Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
18:35:10,613,55.7,25.5,749,54
18:35:11,246,55.7,25.5,749,54
18:35:12,163,55.8,25.5,749,54
18:35:13,154,55.8,25.5,749,54
18:35:14,152,55.8,25.5,749,53
18:35:15,152,55.8,25.5,749,53
18:35:16,153,55.8,25.5,749,53
18:35:17,153,55.8,25.5,749,53
18:35:18,152,55.7,25.5,749,53
18:35:19,152,55.7,25.5,749,54
18:35:20,150,55.6,25.5,749,54
18:35:21,149,55.6,25.5,749,54
18:35:22,149,55.6,25.5,749,54
18:35:23,150,55.6,25.5,750,54
18:35:24,150,55.5,25.5,750,54
18:35:25,150,55.5,25.5,750,54
18:35:26,150,55.4,25.5,750,54
18:35:27,150,55.4,25.5,750,54
18:35:28,150,55.4,25.5,750,54
18:35:29,150,55.4,25.5,750,54
18:35:30,150,55.3,25.5,750,54
18:35:31,150,55.3,25.5,750,54
18:35:32,150,55.3,25.5,750,54
18:35:33,150,55.3,25.5,750,54
18:35:34,151,55.2,25.5,750,54
18:35:35,151,55.2,25.5,750,53
18:35:36,154,55.2,25.5,750,53
18:35:37,155,55.2,25.5,750,53
18:35:38,154,55.2,25.5,750,53
18:35:39,154,55.2,25.5,750,53
18:35:40,153,55.2,25.5,750,53
18:35:41,153,55.2,25.5,750,54
18:35:42,153,55.1,25.5,750,54
18:35:43,152,55.1,25.5,750,54
18:35:44,152,55,25.5,750,54
18:35:45,152,55,25.5,750,54
18:35:46,152,54.9,25.5,750,54
18:35:47,152,54.9,25.5,750,54
18:35:48,151,54.9,25.5,750,54
18:35:49,151,54.9,25.5,749,54
18:35:50,151,54.8,25.5,749,54
18:35:51,150,54.8,25.5,749,55
18:35:52,148,54.7,25.5,749,55
18:35:53,148,54.7,25.5,749,55
18:35:54,148,54.7,25.5,748,55
18:35:55,148,54.7,25.5,748,55
18:35:56,148,54.6,25.5,749,55
18:35:57,148,54.6,25.5,749,55
18:35:58,149,54.5,25.5,749,55
18:35:59,149,54.5,25.5,749,55
18:36:00,149,54.4,25.5,747,55
18:36:01,150,54.4,25.5,747,55
18:36:02,150,54.4,25.5,747,55
18:36:03,150,54.4,25.5,747,55
18:36:04,150,54.3,25.5,746,55
18:36:05,150,54.3,25.5,747,55
18:36:06,150,54.3,25.5,747,55
18:36:07,150,54.3,25.5,746,53
18:36:08,153,54.2,25.5,746,53
18:36:09,155,54.2,25.5,745,54
18:36:10,154,54.2,25.5,745,53
18:36:11,154,54.2,25.5,745,53
18:36:12,153,54.2,25.5,745,53
