Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
18:54:46,541,54.4,25.4,661,53
18:54:47,227,54.4,25.4,661,53
18:54:48,161,54.4,25.4,661,53
18:54:49,154,54.4,25.4,661,53
18:54:50,153,54.4,25.4,662,53
18:54:51,153,54.4,25.4,662,53
18:54:52,153,54.4,25.4,663,51
18:54:53,157,54.4,25.4,663,52
18:54:54,157,54.4,25.4,663,52
18:54:55,157,54.4,25.4,663,52
18:54:56,156,54.4,25.4,665,52
18:54:57,156,54.4,25.4,665,52
18:54:58,156,54.4,25.4,665,52
18:54:59,156,54.4,25.4,665,52
18:55:00,156,54.4,25.4,665,52
18:55:01,155,54.4,25.4,665,52
18:55:02,155,54.4,25.4,666,52
18:55:03,155,54.4,25.4,666,52
18:55:04,155,54.4,25.4,666,52
18:55:05,155,54.4,25.4,666,52
18:55:06,155,54.4,25.4,666,52
18:55:07,155,54.4,25.4,666,52
18:55:08,155,54.4,25.4,666,53
18:55:09,153,54.4,25.4,666,53
18:55:10,151,54.4,25.4,666,53
18:55:11,152,54.4,25.4,667,53
18:55:12,152,54.4,25.4,667,53
18:55:13,152,54.4,25.4,667,53
18:55:14,152,54.4,25.4,667,53
18:55:15,153,54.4,25.4,667,53
18:55:16,152,54.4,25.4,667,53
18:55:17,153,54.4,25.4,667,53
18:55:18,153,54.4,25.4,667,53
18:55:19,153,54.4,25.4,667,53
18:55:20,153,54.5,25.4,667,53
18:55:21,153,54.5,25.4,667,53
18:55:22,153,54.6,25.4,667,53
18:55:23,153,54.6,25.4,667,53
18:55:24,153,54.7,25.4,667,52
18:55:25,156,54.7,25.4,667,52
18:55:26,157,54.8,25.4,667,52
18:55:27,156,54.8,25.4,667,52
18:55:28,156,54.8,25.4,667,52
18:55:29,156,54.8,25.4,667,52
18:55:30,155,54.9,25.4,668,52
18:55:31,155,54.9,25.4,668,52
18:55:32,155,54.9,25.4,668,52
18:55:33,155,54.9,25.4,668,52
18:55:34,155,54.9,25.4,668,52
18:55:35,154,54.9,25.4,668,52
18:55:36,155,54.9,25.4,668,52
18:55:37,154,54.9,25.4,669,52
18:55:38,154,55,25.4,669,52
18:55:39,154,55,25.4,669,52
18:55:40,155,55,25.4,670,53
18:55:41,152,55,25.4,670,53
18:55:42,151,55,25.4,670,53
18:55:43,151,55,25.4,670,53
18:55:44,151,55,25.4,670,53
18:55:45,152,55,25.4,670,53
18:55:46,151,54.9,25.4,670,53
18:55:47,151,54.9,25.4,670,53
18:55:48,152,54.9,25.4,670,53
18:55:49,152,54.9,25.4,670,53
18:55:50,152,54.9,25.4,671,53
18:55:51,152,54.9,25.4,671,53
18:55:52,152,54.9,25.4,671,53
18:55:53,152,54.9,25.4,671,53
18:55:54,152,54.9,25.4,671,53
18:55:55,153,54.9,25.4,671,53
18:55:56,153,54.9,25.4,671,52
18:55:57,157,54.9,25.4,671,52
18:55:58,157,54.9,25.4,670,52
18:55:59,157,54.9,25.4,670,52
18:56:00,156,54.9,25.4,670,52
18:56:01,156,54.9,25.4,670,52
18:56:02,156,54.9,25.4,670,52
18:56:03,155,54.9,25.4,670,52
18:56:04,156,54.9,25.4,670,52
18:56:05,155,54.9,25.4,670,52
18:56:06,156,54.9,25.4,670,52
18:56:07,155,54.9,25.4,670,52
18:56:08,155,54.8,25.4,671,52
18:56:09,155,54.8,25.4,671,52
18:56:10,155,54.8,25.4,671,52
18:56:11,155,54.8,25.4,671,52
18:56:12,155,54.8,25.4,671,53
18:56:13,152,54.8,25.4,672,53
18:56:14,152,54.8,25.4,672,53
18:56:15,151,54.8,25.4,672,53
18:56:16,152,54.8,25.4,672,53
18:56:17,152,54.8,25.4,672,53
18:56:18,152,54.8,25.4,672,53
18:56:19,152,54.8,25.4,672,53
18:56:20,152,54.8,25.4,672,53
18:56:21,153,54.8,25.4,672,53
18:56:22,153,54.8,25.4,672,53
18:56:23,153,54.8,25.4,672,53
18:56:24,153,54.8,25.4,672,53
18:56:25,153,54.8,25.4,673,53
18:56:26,153,54.8,25.4,673,53
18:56:27,153,54.8,25.4,673,53
18:56:28,153,54.8,25.4,673,51
18:56:29,157,54.8,25.4,673,52
18:56:30,158,54.8,25.4,673,52
18:56:31,157,54.8,25.4,673,52
18:56:32,156,54.8,25.4,673,52
18:56:33,156,54.8,25.4,673,52
18:56:34,156,54.8,25.4,673,52
18:56:35,156,54.8,25.4,673,52
18:56:36,156,54.8,25.4,673,52
18:56:37,156,54.8,25.4,673,52
18:56:38,156,54.8,25.4,673,52
18:56:39,156,54.8,25.4,673,52
18:56:40,155,54.8,25.4,673,52
18:56:41,155,54.8,25.4,673,52
18:56:42,155,54.8,25.4,673,52
18:56:43,155,54.8,25.4,673,52
18:56:44,155,54.7,25.3,673,53
18:56:45,152,54.7,25.3,673,53
18:56:46,152,54.8,25.4,673,53
18:56:47,152,54.8,25.4,673,53
18:56:48,152,54.8,25.4,673,53
18:56:49,152,54.8,25.4,673,53
18:56:50,153,54.8,25.4,673,53
18:56:51,152,54.8,25.4,673,53
18:56:52,153,54.8,25.4,673,53
18:56:53,153,54.8,25.4,673,53
18:56:54,153,54.8,25.4,673,53
18:56:55,153,54.8,25.4,673,53
18:56:56,153,54.8,25.4,673,53
18:56:57,153,54.8,25.4,673,53
18:56:58,153,54.8,25.4,673,53
18:56:59,153,54.8,25.4,674,53
18:57:00,153,54.8,25.4,674,51
18:57:01,157,54.8,25.4,674,52
18:57:02,158,54.8,25.4,674,52
18:57:03,157,54.8,25.4,674,52
18:57:04,156,54.8,25.4,674,52
18:57:05,156,54.8,25.4,674,52
18:57:06,155,54.7,25.3,674,52
18:57:07,156,54.7,25.3,674,53
18:57:08,155,54.8,25.4,674,52
18:57:09,155,54.8,25.4,674,53
18:57:10,155,54.8,25.4,674,52
18:57:11,155,54.8,25.4,674,53
18:57:12,155,54.8,25.4,674,52
18:57:13,155,54.8,25.4,674,52
18:57:14,155,54.8,25.4,674,52
18:57:15,155,54.8,25.4,674,52
18:57:16,154,54.8,25.4,674,53
18:57:17,152,54.8,25.4,674,53
18:57:18,151,54.8,25.3,674,53
18:57:19,152,54.8,25.3,674,53
18:57:20,151,54.8,25.4,674,53
18:57:21,152,54.8,25.4,674,53
18:57:22,152,54.8,25.4,674,53
18:57:23,153,54.8,25.4,674,53
18:57:24,152,54.8,25.4,673,53
18:57:25,152,54.8,25.4,673,53
18:57:26,153,54.8,25.4,673,53
18:57:27,153,54.8,25.4,673,53
18:57:28,153,54.8,25.4,673,53
18:57:29,154,54.8,25.4,673,53
18:57:30,154,54.9,25.4,673,53
18:57:31,154,54.9,25.4,673,53
18:57:32,153,54.9,25.4,673,51
18:57:33,157,54.9,25.4,673,51
18:57:34,158,54.9,25.4,673,52
18:57:35,157,54.9,25.4,673,52
18:57:36,157,54.9,25.4,673,52
18:57:37,157,54.9,25.4,673,52
18:57:38,156,54.9,25.4,673,52
18:57:39,156,54.9,25.4,673,52
18:57:40,156,54.9,25.4,673,52
18:57:41,156,54.9,25.4,673,52
18:57:42,155,54.9,25.4,673,52
18:57:43,155,54.9,25.4,673,52
18:57:44,155,54.9,25.4,674,52
18:57:45,155,54.9,25.4,674,52
18:57:46,155,54.9,25.4,674,52
18:57:47,155,54.9,25.4,674,52
18:57:48,155,55,25.4,674,53
18:57:49,152,55,25.4,674,53
18:57:50,151,55,25.4,674,53
18:57:51,151,55,25.4,674,53
18:57:52,152,55,25.4,673,53
18:57:53,152,55,25.4,673,53
18:57:54,152,55,25.4,673,53
18:57:55,152,55,25.4,673,53
18:57:56,152,55,25.4,673,53
18:57:57,152,55,25.4,673,53
18:57:58,153,55,25.4,673,53
18:57:59,152,55,25.4,673,53
18:58:00,153,55,25.4,673,53
18:58:01,153,55,25.4,673,53
18:58:02,153,55,25.4,673,53
18:58:03,153,55,25.4,673,53
18:58:04,153,55.1,25.4,673,52
18:58:05,157,55.1,25.4,673,52
18:58:06,158,55.1,25.4,673,52
18:58:07,157,55.1,25.4,673,52
18:58:08,157,55.1,25.4,673,52
18:58:09,156,55.1,25.4,673,52
18:58:10,156,55.1,25.4,673,52
18:58:11,156,55.1,25.4,673,52
18:58:12,156,55.1,25.4,673,52
18:58:13,156,55.1,25.4,673,52
18:58:14,155,55.1,25.4,674,52
18:58:15,155,55.1,25.4,674,52
18:58:16,155,55.1,25.4,674,52
18:58:17,155,55.1,25.4,674,52
18:58:18,155,55.1,25.4,674,52
18:58:19,155,55.1,25.4,674,52
18:58:20,155,55.1,25.4,674,53
18:58:21,153,55.1,25.4,674,53
18:58:22,152,55.1,25.4,674,53
18:58:23,152,55.1,25.4,674,53
18:58:24,152,55.1,25.4,674,53
18:58:25,152,55.1,25.4,674,53
18:58:26,152,55.1,25.4,674,53
18:58:27,153,55.1,25.4,674,53
18:58:28,153,55.1,25.4,674,53
18:58:29,153,55.1,25.4,674,53
18:58:30,153,55.2,25.4,674,53
18:58:31,153,55.2,25.4,674,53
18:58:32,153,55.2,25.4,674,53
18:58:33,154,55.2,25.4,674,53
18:58:34,154,55.2,25.4,675,53
18:58:35,154,55.2,25.4,675,53
18:58:36,154,55.2,25.4,675,51
18:58:37,157,55.2,25.4,675,51
18:58:38,158,55.2,25.4,675,52
18:58:39,158,55.2,25.4,675,52
18:58:40,157,55.2,25.4,675,52
18:58:41,157,55.2,25.4,675,52
18:58:42,156,55.2,25.4,675,52
18:58:43,156,55.2,25.4,675,52
18:58:44,156,55.1,25.3,675,52
18:58:45,156,55.1,25.3,676,51
18:58:46,156,55.2,25.4,676,52
18:58:47,156,55.2,25.4,676,52
18:58:48,156,55.2,25.4,676,52
18:58:49,156,55.2,25.4,676,51
18:58:50,156,55.2,25.4,676,52
18:58:51,156,55.2,25.4,677,52
18:58:52,156,55.2,25.3,677,53
18:58:53,153,55.2,25.3,677,53
18:58:54,153,55.2,25.4,677,53
18:58:55,153,55.2,25.4,678,53
18:58:56,153,55.3,25.4,678,53
18:58:57,153,55.3,25.4,678,53
18:58:58,153,55.2,25.3,679,53
18:58:59,153,55.2,25.3,679,53
18:59:00,153,55.3,25.4,679,53
18:59:01,153,55.3,25.4,680,53
18:59:02,153,55.3,25.4,680,53
18:59:03,153,55.3,25.4,680,53
18:59:04,153,55.2,25.4,681,53
18:59:05,154,55.2,25.4,681,53
18:59:06,154,55.2,25.4,682,53
18:59:07,154,55.2,25.4,682,53
18:59:08,154,55.1,25.4,683,51
18:59:09,157,55.1,25.4,683,51
18:59:10,159,55.1,25.4,683,52
18:59:11,158,55.1,25.4,684,52
18:59:12,157,55,25.4,684,52
18:59:13,157,55,25.4,684,52
18:59:14,157,55,25.4,685,52
18:59:15,157,55,25.4,685,52
18:59:16,156,55,25.4,685,52
18:59:17,156,55,25.4,686,52
18:59:18,156,55,25.4,686,52
18:59:19,156,55,25.4,686,51
18:59:20,156,54.9,25.4,686,52
18:59:21,156,54.9,25.4,687,52
18:59:22,156,54.9,25.4,687,52
18:59:23,155,54.9,25.4,687,52
18:59:24,155,54.9,25.4,687,53
18:59:25,153,54.9,25.4,687,53
18:59:26,152,54.9,25.4,687,53
18:59:27,152,54.9,25.4,688,53
18:59:28,152,54.9,25.4,688,53
18:59:29,152,54.9,25.4,688,53
18:59:30,152,54.9,25.4,688,53
18:59:31,153,54.9,25.4,688,53
