Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
17:30:45,539,57.6,25.3,767,55
17:30:46,223,57.6,25.3,767,54
17:30:47,158,57.2,25.3,767,54
17:30:48,150,57.2,25.3,767,54
17:30:49,150,57.2,25.4,767,54
17:30:50,150,57.2,25.4,767,55
17:30:51,149,57.1,25.4,767,55
17:30:52,149,57.1,25.4,767,55
17:30:53,150,57,25.4,767,55
17:30:54,149,57,25.4,768,53
17:30:55,153,56.9,25.4,768,53
17:30:56,154,56.9,25.4,768,53
17:30:57,153,56.9,25.4,768,53
17:30:58,153,56.9,25.4,768,53
17:30:59,153,56.9,25.4,768,53
17:31:00,153,56.9,25.4,769,54
17:31:01,153,56.9,25.4,769,53
17:31:02,152,56.9,25.4,769,53
17:31:03,152,57,25.4,769,53
17:31:04,152,57,25.4,769,53
17:31:05,152,56.9,25.3,769,53
17:31:06,152,56.9,25.3,769,53
17:31:07,152,56.8,25.3,770,53
17:31:08,152,56.8,25.3,770,53
17:31:09,152,56.9,25.4,770,53
17:31:10,149,56.9,25.4,770,54
17:31:11,148,56.8,25.4,770,55
17:31:12,149,56.8,25.4,770,54
17:31:13,148,56.8,25.4,770,55
17:31:14,149,56.8,25.4,772,54
17:31:15,149,56.6,25.3,772,54
17:31:16,149,56.6,25.3,772,54
17:31:17,149,56.7,25.4,772,54
17:31:18,149,56.7,25.4,772,55
17:31:19,150,56.7,25.4,773,54
17:31:20,150,56.7,25.4,773,54
17:31:21,150,56.8,25.3,773,54
17:31:22,150,56.8,25.3,773,54
17:31:23,150,56.9,25.4,773,54
17:31:24,150,56.9,25.4,773,54
17:31:25,150,57,25.3,773,54
17:31:26,155,57,25.3,773,53
17:31:27,155,57.1,25.4,773,53
17:31:28,154,57.1,25.4,773,53
17:31:29,154,57.2,25.4,773,53
17:31:30,154,57.2,25.4,773,53
17:31:31,153,57.2,25.3,773,53
17:31:32,153,57.2,25.3,773,53
17:31:33,153,57.3,25.4,773,53
17:31:34,153,57.3,25.4,773,53
17:31:35,153,57.4,25.4,773,53
17:31:36,153,57.4,25.4,773,53
17:31:37,152,57.3,25.3,773,53
17:31:38,152,57.3,25.3,772,53
17:31:39,152,57.3,25.4,772,53
17:31:40,152,57.3,25.4,772,53
17:31:41,152,57.2,25.3,772,53
17:31:42,149,57.2,25.3,772,54
17:31:43,149,57.2,25.4,772,54
17:31:44,149,57.2,25.4,772,54
17:31:45,149,57.1,25.3,772,54
17:31:46,148,57.1,25.3,772,54
17:31:47,149,57,25.3,772,54
17:31:48,149,57,25.3,772,54
17:31:49,149,56.9,25.3,772,54
17:31:50,150,56.9,25.3,772,54
17:31:51,150,56.9,25.3,772,54
17:31:52,150,56.9,25.3,774,54
17:31:53,150,56.8,25.3,774,54
17:31:54,150,56.8,25.3,774,54
17:31:55,151,56.8,25.3,774,54
17:31:56,150,56.8,25.3,774,54
17:31:57,151,56.8,25.3,774,54
17:31:58,156,56.8,25.3,774,53
17:31:59,156,56.8,25.4,774,53
17:32:00,155,56.8,25.4,773,53
17:32:01,154,56.8,25.4,773,53
17:32:02,154,56.8,25.4,773,53
17:32:03,153,56.8,25.4,773,53
17:32:04,153,56.8,25.4,773,53
17:32:05,153,56.8,25.4,773,53
17:32:06,153,56.8,25.4,773,53
17:32:07,153,56.8,25.4,773,53
17:32:08,153,56.8,25.4,773,53
17:32:09,152,56.8,25.4,773,53
17:32:10,153,56.8,25.4,773,53
17:32:11,152,56.7,25.3,773,53
17:32:12,152,56.7,25.3,771,53
17:32:13,152,56.8,25.3,771,51
17:32:14,149,56.8,25.3,771,54
17:32:15,149,56.8,25.3,771,54
17:32:16,149,56.8,25.3,771,54
17:32:17,149,56.9,25.4,772,54
17:32:18,149,56.9,25.4,772,54
17:32:19,149,56.8,25.3,772,54
17:32:20,149,56.8,25.3,772,54
17:32:21,150,56.9,25.4,772,54
17:32:22,150,56.9,25.4,772,54
17:32:23,150,56.8,25.3,772,54
17:32:24,150,56.8,25.3,772,54
17:32:25,150,56.9,25.3,772,54
17:32:26,150,56.9,25.3,772,54
17:32:27,150,57.1,25.4,772,54
17:32:28,150,57.1,25.4,772,54
17:32:29,150,57.5,25.3,772,53
17:32:30,155,57.5,25.3,772,53
17:32:31,156,57.7,25.4,772,53
17:32:32,155,57.7,25.4,771,53
17:32:33,154,57.7,25.4,771,53
17:32:34,154,57.7,25.4,771,53
17:32:35,153,57.6,25.4,771,53
17:32:36,153,57.6,25.4,771,53
17:32:37,153,57.7,25.4,770,53
17:32:38,153,57.7,25.4,770,53
17:32:39,152,57.6,25.3,770,53
17:32:40,153,57.6,25.3,770,53
17:32:41,153,57.6,25.4,770,53
17:32:42,153,57.6,25.4,770,53
17:32:43,152,57.5,25.4,769,53
17:32:44,152,57.5,25.4,769,53
17:32:45,152,57.4,25.3,769,53
17:32:46,149,57.4,25.3,769,54
17:32:47,148,57.3,25.4,769,54
17:32:48,149,57.3,25.4,769,54
17:32:49,149,57.1,25.3,769,54
17:32:50,149,57.1,25.3,768,54
17:32:51,149,57.1,25.4,768,54
17:32:52,149,57.1,25.4,768,54
17:32:53,149,57,25.3,768,54
17:32:54,150,57,25.3,768,54
17:32:55,150,57,25.4,768,54
17:32:56,150,57,25.4,768,54
17:32:57,150,56.9,25.4,768,54
17:32:58,150,56.9,25.4,768,54
17:32:59,150,56.9,25.4,768,54
17:33:00,151,56.9,25.4,768,54
17:33:01,150,56.8,25.4,768,54
17:33:02,156,56.8,25.4,767,53
17:33:03,155,56.7,25.3,767,53
17:33:04,155,56.7,25.3,767,53
17:33:05,154,56.8,25.4,767,53
17:33:06,154,56.8,25.4,767,53
17:33:07,154,56.7,25.3,767,53
17:33:08,153,56.7,25.3,767,53
17:33:09,153,56.8,25.4,767,53
17:33:10,153,56.8,25.4,767,53
17:33:11,153,56.8,25.3,767,53
17:33:12,153,56.8,25.3,766,53
17:33:13,153,56.8,25.3,766,53
17:33:14,153,56.8,25.3,766,53
17:33:15,152,56.8,25.3,766,53
17:33:16,152,56.8,25.3,766,53
17:33:17,153,56.9,25.3,766,53
17:33:18,149,56.9,25.3,766,54
17:33:19,149,57,25.4,766,54
17:33:20,149,57,25.4,766,54
17:33:21,149,57.1,25.4,766,54
