Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
18:22:23,483,42.2,23,627,37
18:22:24,443,42.4,23,626,37
18:22:25,432,42.4,23,626,38
18:22:26,429,42.5,23,625,38
18:22:27,428,42.5,23,625,38
18:22:28,428,42.7,23,623,38
18:22:29,427,42.7,23,622,38
18:22:30,428,42.8,23,622,38
18:22:31,427,42.8,23,622,38
18:22:32,427,42.8,23,621,46
18:22:33,407,42.8,23,621,46
18:22:34,406,42.8,23,621,45
18:22:35,406,42.8,23,620,45
18:22:36,407,42.8,23,620,45
18:22:37,408,42.8,23,620,45
18:22:38,408,42.8,23,620,45
18:22:39,409,42.8,23,619,45
18:22:40,409,42.9,23,619,44
18:22:41,410,42.9,23,619,44
18:22:42,410,42.9,23,619,44
18:22:43,410,42.9,23,619,44
18:22:44,410,42.9,23,619,44
18:22:45,411,42.9,23,618,44
18:22:46,411,43,23,618,44
18:22:47,411,43,23,618,44
18:22:48,412,43,22.9,618,33
18:22:49,436,43,22.9,618,35
18:22:50,436,43,23,618,36
18:22:51,432,43,23,618,37
18:22:52,431,43,23,618,37
18:22:53,429,43,23,618,38
18:22:54,429,43,23,619,38
18:22:55,429,43,23,619,38
18:22:56,428,42.9,22.9,619,38
18:22:57,428,42.9,22.9,619,38
18:22:59,427,43.1,22.9,619,38
18:23:00,427,43.1,22.9,619,38
18:23:01,427,43.1,23,619,38
18:23:02,427,43.1,23,619,38
18:23:03,427,43.1,23,619,38
18:23:04,426,43.1,23,619,38
18:23:05,426,42.9,22.9,619,46
18:23:06,408,42.9,22.9,619,46
18:23:07,406,42.9,23,619,45
18:23:08,406,42.9,23,619,45
18:23:09,407,42.8,23,619,45
18:23:10,407,42.8,23,619,45
18:23:11,408,42.8,23,619,45
18:23:12,409,42.8,23,620,45
18:23:13,409,42.8,22.9,620,44
18:23:14,409,42.8,22.9,620,45
18:23:15,409,43.2,22.9,620,44
18:23:16,410,43.2,22.9,620,44
18:23:17,410,43.7,23,620,44
18:23:18,411,43.7,23,620,44
18:23:19,411,43.9,22.9,619,44
18:23:20,411,43.9,22.9,619,44
18:23:21,411,44.4,23,621,33
18:23:22,436,44.4,23,621,35
18:23:23,435,45,23,621,37
18:23:24,432,45,23,621,37
18:23:25,430,45.3,22.9,622,38
18:23:26,429,45.3,22.9,622,38
18:23:27,428,45.5,22.9,622,38
18:23:28,428,45.5,22.9,623,38
18:23:29,427,45.5,22.9,623,38
18:23:30,427,45.5,22.9,623,38
18:23:31,427,45.4,22.9,624,38
18:23:32,426,45.4,22.9,624,38
18:23:34,427,45.1,22.9,624,38
18:23:35,426,45.1,22.9,625,38
18:23:36,426,45,22.9,625,38
18:23:37,426,45,22.9,625,38
18:23:38,426,44.9,23,625,47
18:23:39,407,44.9,23,625,46
18:23:40,405,45.1,22.9,626,45
18:23:41,405,45.1,22.9,627,45
18:23:42,406,45.1,22.9,627,45
18:23:43,407,45.1,22.9,627,45
18:23:44,407,44.9,22.9,628,45
18:23:45,408,44.9,22.9,628,45
18:23:46,408,44.8,22.9,628,45
18:23:47,409,44.8,22.9,628,45
18:23:48,409,44.7,22.9,628,45
18:23:49,409,44.7,22.9,629,45
18:23:50,410,44.6,22.9,629,44
18:23:51,410,44.6,22.9,629,44
18:23:52,410,44.5,22.9,630,44
18:23:53,410,44.5,22.9,630,44
18:23:54,411,44.4,22.9,630,33
18:23:55,435,44.4,22.9,630,35
18:23:56,433,44.3,23,631,37
18:23:57,430,44.3,23,631,37
18:23:58,429,44,22.9,631,38
18:23:59,427,44,22.9,632,38
18:24:00,427,43.9,23,633,38
18:24:01,426,43.9,23,633,38
18:24:02,426,43.8,22.9,633,38
18:24:03,426,43.8,22.9,633,38
18:24:04,426,43.7,22.9,633,38
18:24:05,425,43.7,22.9,633,38
18:24:06,425,43.8,23,633,38
18:24:07,425,43.8,23,633,38
18:24:09,425,44,22.9,634,38
18:24:10,424,44,22.9,634,39
18:24:11,424,44.4,23,634,47
18:24:12,405,44.4,23,634,46
18:24:13,404,44.6,22.9,635,46
18:24:14,405,44.6,22.9,635,45
18:24:15,406,44.7,22.9,634,45
18:24:16,407,44.7,22.9,634,45
