Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
16:35:29,541,41.8,22.5,584,44
16:35:30,455,41.8,22.5,583,43
16:35:31,429,41.8,22.5,582,43
16:35:32,420,41.8,22.5,581,43
16:35:33,417,41.7,22.5,581,44
16:35:34,416,41.7,22.5,579,44
16:35:35,415,41.7,22.5,578,44
16:35:36,415,41.7,22.5,578,44
16:35:37,416,41.7,22.5,577,27
16:35:38,453,41.7,22.5,575,31
16:35:39,451,41.7,22.5,575,34
16:35:40,445,41.7,22.5,574,35
16:35:41,442,41.6,22.5,573,36
16:35:42,439,41.6,22.5,571,36
16:35:43,438,41.6,22.5,571,36
16:35:45,437,41.6,22.5,570,37
16:35:46,437,41.6,22.5,570,37
16:35:47,436,41.6,22.5,569,37
16:35:48,436,41.6,22.5,568,37
16:35:49,436,41.6,22.5,567,37
16:35:50,436,41.6,22.5,566,37
16:35:51,435,41.6,22.5,566,37
16:35:52,435,41.7,22.5,566,37
16:35:53,435,41.7,22.5,566,37
16:35:54,434,41.7,22.5,565,47
16:35:55,411,41.7,22.5,565,47
16:35:56,409,41.6,22.5,565,46
16:35:57,409,41.6,22.5,565,46
16:35:58,409,41.7,22.5,564,45
16:35:59,410,41.7,22.5,563,45
16:36:0,411,41.8,22.5,564,45
16:36:1,412,41.8,22.5,564,45
16:36:2,413,41.9,22.5,563,45
16:36:3,413,41.9,22.5,563,45
16:36:4,413,41.9,22.5,563,44
16:36:5,414,41.9,22.5,563,44
16:36:6,414,41.9,22.5,562,44
16:36:7,415,41.9,22.5,562,44
16:36:8,415,41.9,22.5,562,44
16:36:9,415,41.9,22.5,562,44
16:36:10,415,41.9,22.5,560,44
16:36:11,416,41.9,22.5,560,30
16:36:12,446,41.9,22.5,560,33
16:36:13,444,41.9,22.5,559,35
16:36:14,442,41.9,22.5,560,36
16:36:15,439,41.9,22.5,560,36
16:36:16,438,41.8,22.5,561,36
16:36:17,437,41.8,22.5,560,36
16:36:18,437,42.0,22.5,560,36
16:36:20,436,42.0,22.5,559,37
16:36:21,436,42.3,22.5,559,37
16:36:22,435,42.3,22.5,559,37
16:36:23,435,42.6,22.5,559,37
16:36:24,435,42.6,22.5,558,37
16:36:25,435,43.0,22.5,559,37
16:36:26,435,43.0,22.5,558,37
16:36:27,435,43.0,22.4,558,37
16:36:28,434,43.0,22.4,557,47
16:36:29,412,43.0,22.5,556,45
16:36:30,410,43.0,22.5,555,45
16:36:31,410,43.1,22.5,556,45
16:36:32,411,43.1,22.5,556,45
16:36:33,412,43.0,22.5,557,45
16:36:34,412,43.0,22.5,556,44
16:36:35,413,42.9,22.4,556,44
16:36:36,413,42.9,22.4,556,44
16:36:37,414,42.8,22.5,556,44
16:36:38,414,42.8,22.5,555,44
16:36:39,414,42.7,22.5,555,44
16:36:40,415,42.7,22.5,555,44
16:36:41,415,42.5,22.4,555,43
16:36:42,415,42.5,22.4,554,44
16:36:43,416,42.4,22.4,554,43
16:36:44,416,42.4,22.4,554,27
16:36:45,451,42.3,22.4,554,32
16:36:46,448,42.3,22.4,553,34
16:36:47,444,42.4,22.5,554,35
16:36:48,440,42.4,22.5,553,36
16:36:49,438,42.2,22.5,554,36
16:36:50,437,42.2,22.5,553,36
16:36:51,437,42.3,22.5,553,36
16:36:52,436,42.3,22.5,552,36
16:36:53,436,42.5,22.5,552,36
16:36:54,435,42.5,22.5,553,37
16:36:56,435,42.7,22.5,552,37
16:36:57,435,42.7,22.5,552,37
16:36:58,434,42.9,22.5,552,37
16:36:59,435,42.9,22.5,551,37
16:37:0,435,43.2,22.5,552,37
16:37:1,434,43.2,22.5,552,47
16:37:2,412,43.4,22.5,551,46
16:37:3,409,43.4,22.5,550,45
16:37:4,410,43.4,22.4,551,45
16:37:5,411,43.4,22.4,552,45
16:37:6,412,43.4,22.5,551,44
16:37:7,413,43.4,22.5,550,44
16:37:8,413,43.3,22.4,550,44
16:37:9,414,43.3,22.4,550,44
16:37:10,414,43.3,22.4,552,44
16:37:11,415,43.3,22.4,552,44
16:37:12,415,43.2,22.5,551,43
16:37:13,415,43.2,22.5,552,43
16:37:14,416,43.1,22.5,552,43
16:37:15,416,43.1,22.5,552,43
16:37:16,416,43.0,22.5,552,43
16:37:17,416,43.0,22.5,552,43
16:37:18,441,43.0,22.5,553,30
16:37:19,451,43.0,22.5,553,33
16:37:20,446,43.0,22.5,552,34
16:37:21,442,43.0,22.5,552,35
16:37:22,440,43.1,22.5,552,36
16:37:23,438,43.1,22.5,552,36
