Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
18:18:35,534,42.3,23.0,617,44
18:18:37,446,42.3,23.0,617,44
18:18:38,421,42.5,23.0,616,44
18:18:39,414,42.5,23.0,615,44
18:18:40,413,42.4,23.0,615,44
18:18:41,412,42.4,23.0,615,44
18:18:42,454,42.5,23.0,614,33
18:18:43,442,42.5,23.0,614,35
18:18:44,435,42.6,23.0,614,36
18:18:45,431,42.6,23.0,615,37
18:18:46,429,42.6,23.0,614,38
18:18:47,428,42.6,23.0,615,38
18:18:48,427,42.7,23.0,615,38
18:18:49,427,42.7,23.0,615,38
18:18:50,426,42.8,23.0,615,38
18:18:51,426,42.8,23.0,616,38
18:18:52,425,42.8,23.0,617,38
18:18:53,425,42.8,23.0,617,38
18:18:54,425,42.7,23.0,616,38
18:18:55,425,42.7,23.0,616,38
18:18:56,424,42.8,23.0,616,38
18:18:57,424,42.8,23.0,616,39
18:18:58,403,42.7,23.0,617,47
18:18:59,402,42.7,23.0,617,46
18:19:0,404,42.7,23.0,617,46
18:19:1,405,42.7,23.0,617,45
18:19:2,406,42.9,23.0,617,45
18:19:3,407,42.9,23.0,617,45
18:19:4,407,42.9,23.0,617,45
18:19:5,408,42.9,23.0,617,45
18:19:6,408,42.9,23.0,617,45
18:19:7,409,42.9,23.0,617,45
18:19:8,409,43.0,23.0,618,45
18:19:9,409,43.0,23.0,618,45
18:19:10,410,43.2,23.0,618,44
18:19:12,410,43.2,23.0,618,45
18:19:13,410,43.3,23.0,618,44
18:19:14,410,43.3,23.0,619,44
18:19:15,411,43.3,23.0,619,33
18:19:16,435,43.3,23.0,620,36
18:19:17,434,43.6,23.0,620,37
18:19:18,431,43.6,23.0,620,38
18:19:19,429,43.7,23.0,620,38
18:19:20,428,43.7,23.0,620,38
18:19:21,427,43.7,23.0,620,38
18:19:22,427,43.7,23.0,621,38
18:19:23,426,43.8,23.0,621,38
18:19:24,426,43.8,23.0,621,38
18:19:25,426,43.9,23.0,622,38
18:19:26,425,43.9,23.0,622,38
18:19:27,425,44.4,23.0,622,38
18:19:28,425,44.4,23.0,622,39
18:19:29,425,44.5,23.0,622,39
18:19:30,424,44.5,23.0,623,39
18:19:31,425,44.4,23.0,623,47
18:19:32,406,44.4,23.0,623,46
18:19:33,404,44.3,23.0,623,46
18:19:34,405,44.3,23.0,623,46
18:19:35,405,44.4,23.0,623,45
18:19:36,406,44.4,23.0,625,45
18:19:37,407,44.6,23.0,625,45
18:19:38,407,44.6,23.0,626,45
18:19:39,408,44.7,23.0,626,45
18:19:40,408,44.7,23.0,627,45
18:19:41,408,44.6,23.0,627,45
18:19:42,409,44.6,23.0,628,45
18:19:43,409,44.5,23.0,628,45
18:19:44,409,44.5,23.0,629,45
18:19:45,409,44.2,23.0,629,44
18:19:47,410,44.2,23.0,630,44
18:19:48,410,43.9,23.0,630,33
18:19:49,435,43.9,23.0,630,36
18:19:50,434,43.8,23.0,630,37
18:19:51,431,43.8,23.0,631,38
18:19:52,429,43.6,23.0,632,38
18:19:53,428,43.6,23.0,633,38
18:19:54,427,43.5,23.0,633,38
18:19:55,426,43.5,23.0,634,38
18:19:56,426,43.4,23.0,634,38
18:19:57,426,43.4,23.0,634,39
18:19:58,426,43.3,23.0,635,39
18:19:59,425,43.3,23.0,635,39
18:20:0,425,43.3,23.0,635,39
18:20:1,425,43.3,23.0,636,39
18:20:2,425,43.2,23.0,636,39
18:20:3,425,43.2,23.0,636,39
18:20:4,424,43.2,23.0,637,47
18:20:5,406,43.2,23.0,637,47
18:20:6,404,43.1,23.0,638,46
18:20:7,405,43.1,23.0,639,46
18:20:8,405,43.0,23.0,639,45
18:20:9,406,43.0,23.0,639,45
18:20:10,407,43.0,23.0,639,45
18:20:11,407,43.0,23.0,640,45
18:20:12,407,43.0,23.0,640,45
18:20:13,408,43.0,23.0,640,45
18:20:14,408,42.9,23.0,640,45
18:20:15,408,42.9,23.0,640,45
18:20:16,409,42.9,23.0,640,45
18:20:17,409,42.9,23.0,640,45
18:20:18,409,42.8,23.0,640,44
18:20:19,410,42.8,23.0,640,45
18:20:20,410,42.8,23.0,642,33
18:20:22,435,42.8,23.0,642,36
18:20:23,433,42.8,23.0,642,37
18:20:24,430,42.8,23.0,642,38
18:20:25,428,43.0,23.0,642,38
18:20:26,427,43.0,23.0,642,38
18:20:27,427,43.3,23.0,642,38
18:20:28,426,43.3,23.0,642,39
18:20:29,426,43.6,23.0,642,38
18:20:30,425,43.6,23.0,642,39
