Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
16:44:7,547,41.4,23.1,773,149
16:44:9,254,41.4,23.1,766,149
16:44:10,173,41.5,23.1,763,150
16:44:11,161,41.5,23.1,761,150
16:44:12,159,41.4,23.1,759,150
16:44:13,158,41.4,23.1,757,150
16:44:14,158,41.4,23.1,755,150
16:44:15,157,41.4,23.1,751,150
16:44:16,157,41.3,23.1,750,150
16:44:17,157,41.3,23.1,746,150
16:44:18,157,41.3,23.1,744,150
16:44:19,157,41.3,23.1,741,150
16:44:20,157,41.3,23.1,739,150
16:44:21,156,41.3,23.1,735,150
16:44:22,156,41.2,23.1,733,150
16:44:23,156,41.2,23.1,731,150
16:44:24,156,41.2,23.1,729,150
16:44:25,152,41.2,23.1,726,151
16:44:26,151,41.2,23.1,724,151
16:44:27,152,41.2,23.1,722,152
16:44:28,152,41.3,23.1,720,151
16:44:29,152,41.3,23.1,718,151
16:44:30,152,41.6,23.1,716,151
16:44:31,152,41.6,23.1,714,152
16:44:32,153,42.0,23.1,711,151
16:44:33,153,42.0,23.1,708,151
16:44:34,152,42.2,23.1,706,151
16:44:35,153,42.2,23.1,704,151
16:44:36,153,42.5,23.1,702,151
16:44:37,153,42.5,23.1,701,151
16:44:38,154,42.7,23.1,699,151
16:44:39,154,42.7,23.1,697,151
16:44:40,153,42.8,23.1,696,151
16:44:41,154,42.8,23.1,693,149
16:44:42,159,42.9,23.1,691,150
16:44:44,160,42.9,23.1,690,150
16:44:45,160,42.9,23.1,688,150
16:44:46,159,42.9,23.1,688,150
16:44:47,159,42.8,23.1,686,150
16:44:48,158,42.8,23.1,684,150
16:44:49,158,42.7,23.1,683,150
16:44:50,158,42.7,23.1,682,150
16:44:51,158,42.7,23.1,681,150
16:44:52,158,42.7,23.1,679,150
16:44:53,158,43.0,23.1,678,150
16:44:54,157,43.0,23.1,677,150
16:44:55,158,42.9,23.1,676,150
16:44:56,157,42.9,23.1,674,150
16:44:57,157,43.1,23.1,673,150
16:44:58,157,43.1,23.1,673,152
16:44:59,154,43.3,23.1,672,151
16:45:0,152,43.3,23.1,672,152
16:45:1,153,43.4,23.1,671,151
16:45:2,152,43.4,23.1,669,151
16:45:3,153,43.4,23.1,668,151
16:45:4,153,43.4,23.1,667,151
16:45:5,153,43.4,23.1,665,151
16:45:6,153,43.4,23.1,664,152
16:45:7,153,43.4,23.1,663,151
16:45:8,153,43.4,23.1,662,151
16:45:9,154,43.5,23.1,662,151
16:45:10,153,43.5,23.1,662,151
16:45:11,154,43.5,23.1,661,151
16:45:12,154,43.5,23.1,660,151
16:45:13,154,43.4,23.1,659,151
16:45:14,154,43.4,23.1,657,149
16:45:15,159,43.4,23.1,656,150
16:45:16,160,43.4,23.1,655,150
16:45:17,160,43.3,23.1,655,150
16:45:19,159,43.3,23.1,654,150
16:45:20,159,43.2,23.1,653,150
16:45:21,159,43.2,23.1,652,150
16:45:22,158,43.1,23.1,651,150
16:45:23,158,43.1,23.1,650,150
16:45:24,158,43.1,23.1,650,150
16:45:25,158,43.1,23.1,649,150
16:45:26,158,43.1,23.1,649,150
16:45:27,158,43.1,23.1,648,150
16:45:28,157,43.1,23.1,647,150
16:45:29,157,43.1,23.1,647,150
16:45:30,157,43.1,23.1,646,150
16:45:31,157,43.1,23.1,646,151
16:45:32,153,43.2,23.1,645,151
16:45:33,152,43.2,23.1,644,151
16:45:34,152,43.1,23.1,644,151
16:45:35,152,43.1,23.1,644,151
16:45:36,152,43.0,23.1,643,151
16:45:37,153,43.0,23.1,643,151
16:45:38,153,42.9,23.1,642,151
16:45:39,153,42.9,23.1,642,151
16:45:40,153,42.9,23.1,642,151
16:45:41,153,42.9,23.1,642,152
16:45:42,153,42.8,23.1,642,151
16:45:43,153,42.8,23.1,642,151
16:45:44,153,42.7,23.1,641,151
16:45:45,154,42.7,23.1,641,151
16:45:46,154,42.7,23.1,641,151
16:45:47,154,42.7,23.1,640,149
16:45:48,159,42.5,23.1,641,149
16:45:49,161,42.5,23.1,640,150
16:45:50,160,42.5,23.1,640,150
16:45:51,159,42.5,23.1,640,150
16:45:52,159,42.4,23.1,640,150
16:45:54,159,42.4,23.1,639,150
16:45:55,158,42.3,23.1,639,150
16:45:56,158,42.3,23.1,639,150
16:45:57,158,42.4,23.1,638,150
16:45:58,158,42.4,23.1,638,150
16:45:59,157,42.5,23.1,638,150
16:46:0,158,42.5,23.1,638,150
16:46:1,158,42.7,23.1,637,150
16:46:2,158,42.7,23.1,637,150
