Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
17:34:28,621,42.30,23.00,524,151
17:34:29,261,42.30,23.00,524,151
17:34:30,163,41.60,23.00,523,152
17:34:31,152,41.60,23.00,523,152
17:34:32,151,41.50,23.00,523,152
17:34:33,151,41.50,23.00,523,152
17:34:34,152,41.50,23.00,523,152
17:34:35,152,41.50,23.00,523,152
17:34:36,152,41.50,23.00,523,152
17:34:37,152,41.50,23.00,523,152
17:34:38,152,41.50,23.00,523,152
17:34:39,152,41.50,23.00,523,152
17:34:40,152,41.50,23.00,523,152
17:34:41,153,41.50,23.00,523,152
17:34:42,153,41.50,23.00,523,152
17:34:43,153,41.50,23.00,523,152
17:34:44,152,41.50,23.00,523,152
17:34:45,153,41.50,23.00,523,152
17:34:46,161,41.50,23.00,523,150
17:34:47,161,41.50,23.00,524,150
17:34:48,159,41.50,22.90,524,150
17:34:49,158,41.50,22.90,524,150
17:34:50,158,41.60,23.00,523,150
17:34:51,157,41.60,23.00,523,150
17:34:52,157,41.70,23.00,523,151
17:34:53,157,41.70,23.00,523,151
17:34:54,157,41.80,23.00,524,151
17:34:55,157,41.80,23.00,524,151
17:34:57,157,42.40,23.00,524,151
17:34:58,157,42.40,23.00,524,150
17:34:59,156,43.00,23.00,524,151
17:35:0,157,43.00,23.00,524,151
17:35:1,157,43.60,23.00,524,151
17:35:2,156,43.60,23.00,524,151
17:35:3,153,43.70,23.00,524,152
17:35:4,152,43.70,23.00,524,152
17:35:5,152,43.50,23.00,524,152
17:35:6,152,43.50,23.00,524,152
Time,Photoresistor,Humidity in %,Temperature in C�,CO2 in ppm,Soil Moisture in %
17:38:43,539,42.80,23.10,519,152
17:38:44,231,42.80,23.10,519,152
17:38:46,162,42.70,23.10,519,152
17:38:47,154,42.70,23.10,519,152
17:38:48,153,42.60,23.10,519,152
17:38:49,153,42.60,23.10,519,152
17:38:50,153,42.50,23.10,519,152
17:38:51,152,42.50,23.10,520,152
17:38:52,153,42.50,23.10,521,152
17:38:53,153,42.50,23.10,521,152
17:38:54,153,42.50,23.10,521,150
17:38:55,158,42.50,23.10,521,150
17:38:56,160,42.50,23.10,521,150
17:38:57,159,42.50,23.10,521,150
17:38:58,158,42.50,23.10,521,150
17:38:59,158,42.50,23.10,521,151
17:39:0,158,42.50,23.10,521,150
17:39:1,157,42.50,23.10,522,151
17:39:2,157,42.60,23.10,522,151
17:39:3,157,42.60,23.10,522,150
17:39:4,157,42.90,23.10,522,151
17:39:5,157,42.90,23.10,522,151
17:39:6,157,43.20,23.10,522,150
17:39:7,156,43.20,23.10,522,151
17:39:8,156,43.60,23.10,522,151
17:39:9,156,43.60,23.10,522,151
17:39:10,156,44.00,23.10,522,152
17:39:11,153,44.00,23.10,522,152
17:39:12,151,44.50,23.10,522,152
17:39:13,151,44.50,23.10,523,152
17:39:14,152,44.60,23.10,523,152
17:39:15,151,44.60,23.10,523,152
17:39:16,152,44.30,23.10,524,152
17:39:17,152,44.30,23.10,524,152
17:39:18,152,44.00,23.10,524,152
17:39:19,152,44.00,23.10,524,152
17:39:21,153,43.70,23.10,524,152
17:39:22,152,43.70,23.10,525,152
17:39:23,153,43.40,23.10,525,152
17:39:24,153,43.40,23.10,525,152
17:39:25,153,43.20,23.10,525,152
17:39:26,153,43.20,23.10,525,152
17:39:27,152,43.10,23.10,525,150
17:39:28,157,43.10,23.10,526,150
17:39:29,159,43.00,23.10,526,150
17:39:30,158,43.00,23.10,526,150
17:39:31,158,43.00,23.10,526,151
17:39:32,158,43.00,23.10,527,151
17:39:33,158,43.20,23.10,527,150
17:39:34,157,43.20,23.10,527,151
17:39:35,157,43.90,23.10,527,151
17:39:36,157,43.90,23.10,527,151
17:39:37,157,44.60,23.10,528,150
17:39:38,156,44.60,23.10,528,150
17:39:39,156,45.10,23.10,528,151
17:39:40,156,45.10,23.10,528,151
17:39:41,156,45.60,23.10,528,151
17:39:42,156,45.60,23.10,528,151
17:39:43,156,46.00,23.20,528,152
17:39:44,153,46.00,23.20,528,152
17:39:45,151,46.10,23.10,529,152
17:39:46,151,46.10,23.10,529,152
17:39:47,151,46.20,23.10,529,152
17:39:48,151,46.20,23.10,529,152
17:39:49,152,46.20,23.20,529,152
17:39:50,152,46.20,23.20,529,152
17:39:51,152,46.10,23.10,529,152
17:39:52,152,46.10,23.10,529,152
17:39:53,152,46.20,23.10,529,152
17:39:54,153,46.20,23.10,529,152
17:39:56,153,46.50,23.10,529,152
17:39:57,153,46.50,23.10,530,152
17:39:58,153,46.80,23.10,530,152
17:39:59,152,46.80,23.10,530,152
17:40:0,154,47.20,23.10,531,150
17:40:1,158,47.20,23.10,531,150
17:40:2,160,47.50,23.10,530,150
17:40:3,158,47.50,23.10,530,150
17:40:4,158,48.00,23.20,530,150
17:40:5,158,48.00,23.20,530,150
17:40:6,158,48.10,23.10,530,150
17:40:7,158,48.10,23.10,530,151
17:40:8,157,48.10,23.10,530,151
17:40:9,157,48.10,23.10,530,151
17:40:10,157,48.00,23.20,530,150
17:40:11,157,48.00,23.20,530,151
17:40:12,156,47.70,23.20,530,151
17:40:13,156,47.70,23.20,530,151
17:40:14,156,47.50,23.20,530,151
17:40:15,156,47.50,23.20,530,151
17:40:16,156,47.30,23.20,530,152
17:40:17,153,47.30,23.20,530,152
17:40:18,151,47.10,23.10,530,152
17:40:19,151,47.10,23.10,530,152
17:40:20,152,46.90,23.20,530,152
17:40:21,152,46.90,23.20,530,152
17:40:22,152,46.80,23.20,530,152
17:40:23,152,46.80,23.20,530,152
17:40:24,152,46.70,23.20,530,152
17:40:25,152,46.70,23.20,530,152
17:40:26,152,46.70,23.20,530,152
17:40:27,152,46.70,23.20,530,152
17:40:28,153,46.60,23.10,530,152
17:40:29,153,46.60,23.10,530,152
17:40:31,153,46.60,23.20,530,152
17:40:32,153,46.60,23.20,530,152
17:40:33,153,46.50,23.20,529,150
17:40:34,158,46.50,23.20,529,150
17:40:35,160,46.50,23.20,529,150
17:40:36,158,46.50,23.20,529,150
17:40:37,158,46.60,23.20,529,150
17:40:38,158,46.60,23.20,528,151
