Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
16:53:20,624,41.6,23.5,629,151
16:53:21,262,41.6,23.5,629,151
16:53:22,167,41.7,23.5,629,153
16:53:23,153,41.7,23.5,629,153
16:53:24,150,41.7,23.5,629,153
16:53:25,149,41.7,23.5,629,153
16:53:26,149,41.8,23.5,629,153
16:53:27,150,41.8,23.5,629,153
16:53:28,150,42.1,23.5,630,153
16:53:29,150,42.1,23.5,630,153
16:53:30,151,42.1,23.5,630,153
16:53:31,151,42.1,23.5,630,153
16:53:32,151,42.0,23.5,630,153
16:53:33,151,42.0,23.5,631,153
16:53:34,151,42.0,23.5,631,153
16:53:36,152,42.0,23.5,631,153
16:53:37,152,42.0,23.5,631,152
16:53:38,152,42.0,23.5,631,153
16:53:39,152,42.0,23.5,631,150
16:53:40,158,42.0,23.5,631,150
16:53:41,159,42.0,23.5,631,151
16:53:42,157,42.0,23.5,631,151
16:53:43,157,42.1,23.5,631,151
16:53:44,156,42.1,23.5,631,151
16:53:45,156,42.5,23.5,631,151
16:53:46,155,42.5,23.5,630,151
16:53:47,156,42.4,23.5,629,151
16:53:48,155,42.4,23.5,628,151
16:53:49,155,42.4,23.5,628,151
16:53:50,155,42.4,23.5,626,151
16:53:51,155,42.3,23.5,625,151
16:53:52,155,42.3,23.5,624,151
16:53:53,155,42.2,23.5,623,151
16:53:54,155,42.2,23.5,623,151
16:53:55,155,42.2,23.5,621,152
16:53:56,151,42.2,23.5,620,152
16:53:57,150,42.6,23.5,619,152
16:53:58,151,42.6,23.5,618,152
16:53:59,151,42.8,23.5,617,152
16:54:0,151,42.8,23.5,616,152
16:54:1,151,43.3,23.5,615,152
16:54:2,151,43.3,23.5,614,152
16:54:3,152,44.0,23.4,613,152
16:54:4,152,44.0,23.4,613,152
16:54:5,152,44.5,23.5,612,152
16:54:6,152,44.5,23.5,611,152
16:54:7,152,44.3,23.5,610,152
16:54:8,152,44.3,23.5,609,152
16:54:9,152,44.0,23.5,609,152
16:54:10,152,44.0,23.5,609,152
16:54:12,153,44.3,23.4,609,152
16:54:13,160,44.3,23.4,608,150
16:54:14,160,44.8,23.5,608,150
16:54:15,158,44.8,23.5,607,151
16:54:16,157,44.8,23.4,606,151
16:54:17,156,44.8,23.4,605,151
16:54:18,156,44.6,23.5,604,151
16:54:19,156,44.6,23.5,604,151
16:54:20,156,44.2,23.5,604,151
16:54:21,155,44.2,23.5,603,151
16:54:22,155,44.0,23.5,602,151
16:54:23,155,44.0,23.5,601,151
16:54:24,155,43.7,23.5,601,151
16:54:25,155,43.7,23.5,601,151
16:54:26,155,43.4,23.5,601,151
16:54:27,155,43.4,23.5,600,151
16:54:28,155,43.1,23.5,600,151
16:54:29,152,43.1,23.5,600,152
16:54:30,150,42.9,23.5,599,152
16:54:31,150,42.9,23.5,600,152
16:54:32,151,42.8,23.5,599,152
16:54:33,151,42.8,23.5,599,152
16:54:34,151,42.8,23.5,599,152
16:54:35,151,42.8,23.5,598,152
16:54:36,151,42.8,23.5,598,152
16:54:37,152,42.8,23.5,598,152
16:54:38,152,42.9,23.5,598,152
16:54:39,152,42.9,23.5,598,152
16:54:40,152,42.9,23.5,598,152
16:54:41,152,42.9,23.5,597,152
16:54:42,152,43.0,23.5,597,152
16:54:43,152,43.0,23.5,597,152
16:54:44,153,43.5,23.5,596,152
16:54:45,153,43.5,23.5,597,150
16:54:47,158,43.8,23.5,596,150
16:54:48,159,43.8,23.5,596,150
16:54:49,158,43.9,23.5,596,150
16:54:50,157,43.9,23.5,595,151
16:54:51,157,44.0,23.5,595,151
16:54:52,157,44.0,23.5,595,151
16:54:53,156,44.2,23.5,594,151
16:54:54,156,44.2,23.5,595,151
16:54:55,156,44.5,23.5,595,151
16:54:56,156,44.5,23.5,595,151
16:54:57,156,44.6,23.5,594,151
16:54:58,156,44.6,23.5,594,151
16:54:59,156,44.5,23.5,594,151
16:55:0,156,44.5,23.5,594,151
16:55:1,156,44.6,23.5,594,151
16:55:2,156,44.6,23.5,594,152
16:55:3,153,44.9,23.5,594,152
16:55:4,151,44.9,23.5,594,152
16:55:5,151,45.3,23.5,594,152
16:55:6,151,45.3,23.5,593,152
16:55:7,151,45.7,23.5,593,152
16:55:8,152,45.7,23.5,593,152
16:55:9,152,46.1,23.5,592,152
16:55:10,152,46.1,23.5,592,152
16:55:11,152,46.4,23.5,592,152
16:55:12,152,46.4,23.5,591,152
16:55:13,152,46.6,23.5,592,152
16:55:14,152,46.6,23.5,592,152
