Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
13:15:40,545,53.9,23.4,1137,153
13:15:41,231,53.9,23.4,1137,153
13:15:43,161,53.9,23.4,1137,153
13:15:44,152,53.9,23.4,1139,151
13:15:45,157,53.9,23.4,1139,151
13:15:46,158,53.9,23.4,1139,151
13:15:47,157,54.0,23.4,1140,152
13:15:48,156,54.0,23.4,1141,152
13:15:49,155,54.1,23.4,1143,152
13:15:50,155,54.1,23.4,1143,152
13:15:51,155,54.2,23.4,1143,152
13:15:52,155,54.2,23.4,1145,152
13:15:53,155,54.1,23.4,1145,152
13:15:54,155,54.1,23.4,1146,151
13:15:55,155,54.1,23.4,1146,151
13:15:56,155,54.1,23.4,1146,152
13:15:57,154,54.0,23.4,1148,152
13:15:58,154,54.0,23.4,1148,152
13:15:59,154,54.1,23.4,1150,152
13:16:0,154,54.1,23.4,1150,153
13:16:1,151,54.2,23.4,1151,153
13:16:3,150,54.2,23.4,1153,153
13:16:4,150,54.2,23.4,1155,153
13:16:5,150,54.2,23.4,1155,153
13:16:6,150,54.2,23.4,1156,153
13:16:7,151,54.3,23.4,1156,153
13:16:8,150,54.3,23.4,1158,153
13:16:9,150,54.5,23.4,1158,153
13:16:10,150,54.5,23.4,1160,153
13:16:11,150,54.8,23.4,1160,153
13:16:12,151,54.8,23.4,1161,153
13:16:13,151,55.0,23.4,1161,153
13:16:14,151,55.0,23.4,1163,153
13:16:15,151,55.2,23.4,1163,153
13:16:16,151,55.2,23.4,1165,150
13:16:18,157,55.3,23.4,1166,151
13:16:19,157,55.3,23.4,1166,151
13:16:20,156,55.4,23.4,1168,151
13:16:21,155,55.4,23.4,1168,151
13:16:22,155,55.3,23.4,1170,152
13:16:23,154,55.3,23.4,1171,151
13:16:24,154,55.2,23.4,1172,152
13:16:25,154,55.2,23.4,1172,152
13:16:26,154,55.1,23.4,1174,152
13:16:27,154,55.1,23.4,1174,152
13:16:28,154,55.1,23.4,1175,152
13:16:29,153,55.1,23.4,1175,152
13:16:30,154,55.3,23.4,1177,152
13:16:31,153,55.3,23.4,1177,151
13:16:32,154,55.3,23.4,1177,152
13:16:33,153,55.3,23.4,1179,153
13:16:34,150,55.3,23.4,1179,153
13:16:35,149,55.3,23.4,1179,153
13:16:36,149,55.2,23.4,1179,153
13:16:37,150,55.2,23.4,1179,153
13:16:38,150,55.1,23.4,1180,153
13:16:39,150,55.1,23.4,1180,153
13:16:40,150,55.1,23.4,1180,153
13:16:41,150,55.1,23.4,1182,153
13:16:42,150,55.0,23.4,1183,153
13:16:43,150,55.0,23.4,1183,153
13:16:44,151,55.0,23.4,1183,153
13:16:45,151,55.0,23.4,1185,153
13:16:46,151,55.0,23.4,1185,153
13:16:47,151,55.0,23.4,1185,153
13:16:48,151,55.0,23.4,1186,153
13:16:49,151,55.0,23.4,1186,155
13:16:50,158,54.9,23.4,1188,151
13:16:51,158,54.9,23.4,1189,151
13:16:53,156,54.9,23.4,1189,151
13:16:54,155,54.9,23.4,1191,151
13:16:55,155,54.8,23.4,1191,151
13:16:56,154,54.8,23.4,1190,151
13:16:57,155,54.8,23.4,1191,152
13:16:58,154,54.8,23.4,1191,152
13:16:59,154,54.8,23.4,1191,152
13:17:0,154,54.8,23.4,1191,152
13:17:1,154,54.8,23.4,1191,151
13:17:2,154,54.8,23.4,1191,152
13:17:3,154,54.8,23.4,1192,152
13:17:4,154,54.8,23.4,1194,152
13:17:5,154,54.7,23.4,1194,151
13:17:6,154,54.7,23.4,1194,151
13:17:7,150,54.7,23.4,1194,153
13:17:8,150,54.7,23.4,1194,153
13:17:9,150,54.7,23.4,1194,153
13:17:10,150,54.7,23.4,1196,153
13:17:11,150,54.6,23.4,1196,153
13:17:12,150,54.6,23.4,1196,153
13:17:13,150,54.6,23.4,1196,153
13:17:14,150,54.6,23.4,1196,153
13:17:15,151,54.5,23.4,1196,153
13:17:16,150,54.5,23.4,1196,153
13:17:17,150,54.5,23.4,1196,153
13:17:18,151,54.5,23.4,1197,153
13:17:19,151,54.5,23.4,1197,153
13:17:20,151,54.5,23.4,1197,153
13:17:21,151,54.4,23.4,1197,153
13:17:22,151,54.4,23.4,1197,153
13:17:23,151,54.4,23.4,1197,151
13:17:24,156,54.4,23.4,1199,151
13:17:25,158,54.3,23.4,1199,151
13:17:26,157,54.3,23.4,1199,151
13:17:28,156,54.3,23.4,1199,151
13:17:29,156,54.3,23.4,1199,151
13:17:30,155,54.3,23.4,1199,151
13:17:31,156,54.3,23.4,1199,152
13:17:32,155,54.3,23.4,1199,151
13:17:33,155,54.3,23.4,1199,152
13:17:34,155,54.3,23.4,1199,151
13:17:35,155,54.3,23.4,1199,152
13:17:36,155,54.4,23.4,1200,151
13:17:37,154,54.4,23.4,1200,152
13:17:38,154,54.4,23.4,1200,152
13:17:39,154,54.4,23.4,1200,152
13:17:40,154,54.5,23.4,1200,153
13:17:41,151,54.5,23.4,1200,153
13:17:42,149,54.5,23.4,1200,153
13:17:43,150,54.5,23.4,1200,153
13:17:44,150,54.5,23.4,1200,153
13:17:45,150,54.5,23.4,1200,153
13:17:46,150,54.5,23.4,1198,153
13:17:47,150,54.5,23.4,1198,153
13:17:48,150,54.5,23.4,1198,153
13:17:49,151,54.5,23.4,1199,153
13:17:50,151,54.5,23.4,1199,153
13:17:51,151,54.5,23.4,1199,153
13:17:52,151,54.6,23.4,1199,153
13:17:53,151,54.6,23.4,1199,153
13:17:54,151,54.7,23.4,1199,153
13:17:55,151,54.7,23.4,1199,153
13:17:56,152,54.9,23.4,1198,151
13:17:57,156,54.9,23.4,1198,151
13:17:58,158,55.1,23.4,1198,151
13:17:59,157,55.1,23.4,1198,151
13:18:0,157,55.3,23.4,1198,151
13:18:1,156,55.3,23.4,1198,152
13:18:2,156,55.4,23.4,1198,151
13:18:4,156,55.4,23.4,1198,152
13:18:5,156,55.6,23.4,1198,151
13:18:6,156,55.6,23.4,1196,151
13:18:7,155,55.6,23.4,1196,151
13:18:8,155,55.6,23.4,1196,151
13:18:9,155,55.7,23.4,1196,151
13:18:10,155,55.7,23.4,1196,151
13:18:11,155,55.7,23.4,1196,151
13:18:12,154,55.7,23.4,1196,152
13:18:13,154,55.8,23.4,1196,153
13:18:14,151,55.8,23.4,1196,153
13:18:15,150,55.8,23.4,1196,153
13:18:16,149,55.8,23.4,1196,153
13:18:18,150,55.8,23.4,1196,153
13:18:19,150,55.9,23.4,1196,153
13:18:20,150,55.9,23.4,1196,153
13:18:21,150,55.9,23.4,1194,153
13:18:22,151,55.9,23.4,1194,153
13:18:23,151,56.0,23.4,1194,153
13:18:24,151,56.0,23.4,1195,153
13:18:25,151,56.0,23.4,1195,153
13:18:26,151,56.0,23.4,1193,153
13:18:27,151,56.0,23.4,1193,153
13:18:28,152,56.0,23.4,1193,153
13:18:29,152,56.0,23.4,1193,151
13:18:30,157,56.0,23.4,1193,151
13:18:31,158,56.1,23.4,1192,151
13:18:32,157,56.1,23.4,1192,151
13:18:33,157,56.1,23.4,1192,151
13:18:34,156,56.1,23.4,1192,151
13:18:35,156,56.1,23.4,1190,151
13:18:36,156,56.1,23.4,1190,151
13:18:37,155,56.0,23.4,1190,151
13:18:39,155,56.0,23.4,1190,151
13:18:40,155,56.0,23.4,1190,151
13:18:41,155,56.0,23.4,1188,151
13:18:42,155,56.0,23.4,1188,151
13:18:43,155,56.0,23.4,1188,152
