Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
17:47:5,543,40.9,23.6,826,159
17:47:6,220,40.9,23.6,823,159
17:47:7,156,40.5,23.5,814,157
17:47:8,148,40.5,23.5,807,158
17:47:9,145,40.5,23.5,799,157
17:47:10,144,40.5,23.5,793,158
17:47:11,144,40.5,23.6,786,158
17:47:12,144,40.5,23.6,781,158
17:47:13,144,40.4,23.5,774,157
17:47:14,143,40.4,23.5,767,157
17:47:15,143,40.4,23.5,760,157
17:47:16,143,40.4,23.5,752,157
17:47:17,143,40.5,23.5,745,157
17:47:18,143,40.5,23.5,734,157
17:47:19,143,41.0,23.5,724,157
17:47:20,143,41.0,23.5,715,157
17:47:21,143,41.3,23.5,705,157
17:47:22,143,41.3,23.5,696,157
17:47:23,140,41.2,23.5,692,158
17:47:24,139,41.2,23.5,689,158
17:47:25,140,41.1,23.5,685,158
17:47:26,140,41.1,23.5,681,158
17:47:27,140,41.1,23.5,677,158
17:47:28,140,41.1,23.5,674,158
17:47:30,141,41.2,23.5,671,158
17:47:31,141,41.2,23.5,668,158
17:47:32,141,41.2,23.5,665,158
17:47:33,142,41.2,23.5,663,157
17:47:34,141,41.2,23.5,659,157
17:47:35,142,41.2,23.5,656,157
17:47:36,142,41.1,23.5,654,157
17:47:37,142,41.1,23.5,651,157
17:47:38,142,41.2,23.5,649,157
17:47:39,143,41.2,23.5,647,157
17:47:40,143,41.3,23.5,642,156
17:47:41,146,41.3,23.5,640,156
17:47:42,148,41.5,23.4,637,156
17:47:43,147,41.5,23.4,635,156
17:47:44,147,41.7,23.4,634,156
17:47:45,146,41.7,23.4,632,156
17:47:46,146,41.9,23.4,631,156
17:47:47,146,41.9,23.4,630,156
17:47:48,146,42.0,23.5,628,156
17:47:49,146,42.0,23.5,627,156
17:47:50,146,42.0,23.4,626,156
17:47:51,146,42.0,23.4,625,156
17:47:52,146,42.0,23.4,624,156
17:47:53,146,42.0,23.4,623,155
17:47:54,146,41.8,23.4,622,155
17:47:55,146,41.8,23.4,621,155
17:47:56,146,41.7,23.4,619,157
17:47:57,144,41.7,23.4,618,157
17:47:58,143,41.7,23.4,616,157
17:47:59,143,41.7,23.4,614,157
17:48:0,143,41.6,23.4,613,156
17:48:1,144,41.6,23.4,611,156
17:48:2,144,41.6,23.4,611,156
17:48:3,144,41.6,23.4,609,156
17:48:5,144,41.5,23.4,608,156
17:48:6,145,41.5,23.4,606,156
17:48:7,145,41.5,23.4,605,156
17:48:8,145,41.5,23.4,603,156
17:48:9,145,41.4,23.4,601,156
17:48:10,145,41.4,23.4,599,156
17:48:11,146,41.4,23.4,597,156
17:48:12,145,41.4,23.4,595,156
17:48:13,146,41.3,23.4,592,154
17:48:14,150,41.3,23.4,590,154
17:48:15,152,41.3,23.4,589,154
17:48:16,151,41.3,23.4,587,155
17:48:17,150,41.3,23.4,586,154
17:48:18,150,41.3,23.4,584,154
17:48:19,150,41.3,23.4,583,154
17:48:20,149,41.3,23.4,581,154
17:48:21,150,41.3,23.4,580,154
17:48:22,149,41.3,23.4,578,154
17:48:23,149,41.6,23.4,577,154
17:48:24,149,41.6,23.4,576,154
17:48:25,149,42.0,23.4,573,154
17:48:26,149,42.0,23.4,572,154
17:48:27,149,42.4,23.4,572,154
17:48:28,149,42.4,23.4,571,154
17:48:29,149,42.7,23.4,570,155
17:48:30,146,42.7,23.4,569,155
17:48:31,145,42.7,23.4,568,155
17:48:32,145,42.7,23.4,567,155
17:48:33,145,42.6,23.4,566,155
17:48:34,146,42.6,23.4,565,155
17:48:35,146,42.7,23.4,564,155
17:48:36,146,42.7,23.4,563,155
17:48:37,146,42.8,23.4,563,155
17:48:38,146,42.8,23.4,562,155
17:48:40,147,42.8,23.4,562,155
17:48:41,147,42.8,23.4,561,155
17:48:42,147,42.7,23.4,561,155
17:48:43,148,42.7,23.4,560,155
17:48:44,148,42.5,23.4,560,155
17:48:45,148,42.5,23.4,560,155
17:48:46,148,42.3,23.4,560,153
17:48:47,152,42.3,23.4,560,153
17:48:49,153,42.3,23.4,559,153
17:48:50,152,42.1,23.4,558,153
17:48:51,152,42.1,23.4,558,153
17:48:52,152,41.8,23.4,558,153
17:48:53,152,41.8,23.4,558,153
17:48:54,152,41.6,23.4,558,153
17:48:55,152,41.6,23.4,558,153
17:48:56,152,41.4,23.4,557,153
17:48:57,151,41.4,23.4,557,153
17:48:58,151,41.2,23.4,557,153
17:48:59,151,41.2,23.4,557,153
